科室,排名,医院名称
病理科,1,中国医科大学附属第一医院
病理科,2,吉林大学第一医院
病理科,3,哈尔滨医科大学附属第一医院
病理科,4,中国医科大学附属盛京医院
病理科,5,哈尔滨医科大学附属肿瘤医院
病理科,6,哈尔滨医科大学附属第二医院
病理科,7,吉林大学第二医院
病理科,8,大连医科大学附属第一医院
病理科,9,辽宁省肿瘤医院暨大连理工大学附属肿瘤医院
病理科,10,吉林大学中日联谊医院
病理科,获提名,吉林省人民医院
病理科,获提名,吉林省肿瘤医院
病理科,获提名,中国人民解放军北部战区总医院
病理科,获提名,大连医科大学附属第二医院
病理科,获提名,沈阳市第六人民医院
病理科,获提名,大连市第六人民医院
病理科,获提名,哈尔滨医科大学附属第四医院
病理科,获提名,沈阳医学院附属中心医院
放射科,1,中国医科大学附属盛京医院
放射科,2,中国医科大学附属第一医院
放射科,3,哈尔滨医科大学附属第二医院
放射科,4,吉林大学第一医院
放射科,5,吉林大学中日联谊医院
放射科,6,大连医科大学附属第一医院
放射科,7,哈尔滨医科大学附属第一医院
放射科,8,吉林大学第二医院
放射科,9,中国人民解放军北部战区总医院
放射科,10,哈尔滨医科大学附属第四医院
放射科,获提名,辽宁省肿瘤医院暨大连理工大学附属肿瘤医院
放射科,获提名,大连医科大学附属第二医院
放射科,获提名,大连大学附属中山医院
放射科,获提名,哈尔滨医科大学附属肿瘤医院
呼吸科,1,中国医科大学附属第一医院
呼吸科,2,哈尔滨医科大学附属第一医院
呼吸科,3,吉林大学第一医院
呼吸科,4,哈尔滨医科大学附属第二医院
呼吸科,5,中国医科大学附属盛京医院
呼吸科,6,吉林大学第二医院
呼吸科,7,中国人民解放军北部战区总医院
呼吸科,8,大连医科大学附属第一医院
呼吸科,9,大连医科大学附属第二医院
呼吸科,10,吉林大学中日联谊医院
呼吸科,获提名,吉林省人民医院
呼吸科,获提名,锦州医科大学附属第一医院
骨科,1,中国医科大学附属盛京医院
骨科,2,中国医科大学附属第一医院
骨科,3,吉林大学第二医院
骨科,4,哈尔滨医科大学附属第一医院
骨科,5,吉林大学第一医院
骨科,6,哈尔滨医科大学附属第二医院
骨科,7,吉林大学中日联谊医院
骨科,8,大连医科大学附属第一医院
骨科,9,辽宁省肿瘤医院暨大连理工大学附属肿瘤医院
骨科,10,大连医科大学附属第二医院
骨科,获提名,辽宁省妇幼保健院
骨科,获提名,大连大学附属中山医院
骨科,获提名,中国人民解放军北部战区总医院
骨科,获提名,辽宁省人民医院
骨科,获提名,大连大学附属新华医院
骨科,获提名,锦州医科大学附属第一医院
口腔科,1,哈尔滨医科大学附属第一医院
口腔科,2,中国医科大学附属口腔医院
口腔科,3,中国医科大学附属第一医院
口腔科,4,吉林大学口腔医院
口腔科,5,哈尔滨市第一专科医院
口腔科,6,哈尔滨医科大学附属口腔医院
口腔科,7,吉林省脑科医院
口腔科,8,大连市口腔医院
口腔科,9,大连市第七人民医院
口腔科,10,佳木斯大学附属第二医院（口腔医院
口腔科,获提名,辽宁省精神卫生中心
口腔科,获提名,长春市第六医院
口腔科,获提名,中国医科大学附属盛京医院
口腔科,获提名,黑龙江省神经精神病医院(黑龙江省第三医院
口腔科,获提名,大庆市第三医院
口腔科,获提名,吉林大学第一医院
口腔科,获提名,沈阳市精神卫生中心
口腔科,获提名,大连医科大学附属口腔医院
口腔科,获提名,沈阳市口腔医院
口腔科,获提名,锦州医科大学附属第二医院
口腔科,获提名,牡丹江医学院附属红旗医院
泌尿外科,1,中国医科大学附属第一医院
泌尿外科,2,中国医科大学附属盛京医院
泌尿外科,3,吉林大学第一医院
泌尿外科,4,哈尔滨医科大学附属第二医院
泌尿外科,5,哈尔滨医科大学附属第一医院
泌尿外科,6,中国人民解放军北部战区总医院
泌尿外科,7,哈尔滨医科大学附属肿瘤医院
泌尿外科,8,哈尔滨医科大学附属第四医院
泌尿外科,9,吉林大学中日联谊医院
泌尿外科,10,大连医科大学附属第一医院
泌尿外科,获提名,吉林大学第二医院
