科室,排名,医院名称
病理科,1,复旦大学附属肿瘤医院
病理科,2,复旦大学附属华山医院
病理科,3,浙江大学医学院附属第一医院
病理科,4,山东大学齐鲁医院
病理科,5,上海交通大学医学院附属瑞金医院
病理科,6,江苏省人民医院
病理科,7,（南京医科大学第一附属医院
病理科,8,复旦大学附属中山医院
病理科,9,上海市（复旦大学附属
病理科,10,公共卫生临床中心
病理科,获提名,福建医科大学附属第一医院
病理科,获提名,福建省肿瘤医院
病理科,获提名,苏州大学附属第一医院
病理科,获提名,安徽医科大学第一附属医院
病理科,获提名,中国科学技术大学附属第一医院（安徽省立医院
病理科,获提名,南京大学医学院附属鼓楼医院
病理科,获提名,浙江大学医学院附属第二医院
病理科,获提名,中国人民解放军东部战区总医院
病理科,获提名,青岛大学附属医院
病理科,获提名,海军军医大学第一附属医院
病理科,获提名,南昌大学第一附属医院
病理科,获提名,中国科学院大学附属肿瘤医院（浙江省肿瘤医院
病理科,获提名,浙江省人民医院
病理科,获提名,山东大学第二医院
病理科,获提名,南京市第二医院
病理科,获提名,山东第一医科大学附属省立医院（山东省立医院
耳鼻喉科,1,上海交通大学医学院附属瑞金医院
耳鼻喉科,2,上海交通大学医学院附属
耳鼻喉科,3,第九人民医院
耳鼻喉科,4,东南大学附属中大医院
耳鼻喉科,5,上海市第六人民医院
耳鼻喉科,6,中国人民解放军东部战区总医院
耳鼻喉科,7,山东省第二人民医院
耳鼻喉科,8,(山东省耳鼻喉医院
耳鼻喉科,9,海军军医大学第二附属医院
耳鼻喉科,10,山东大学齐鲁医院
耳鼻喉科,获提名,复旦大学附属华山医院
耳鼻喉科,获提名,江苏省人民医院（南京医科大学第一附属医院
耳鼻喉科,获提名,中国科学技术大学附属第一医院（安徽省立医院
耳鼻喉科,获提名,浙江大学医学院附属第一医院
耳鼻喉科,获提名,福建医科大学附属第一医院
耳鼻喉科,获提名,浙江大学医学院附属第二医院
耳鼻喉科,获提名,南京大学医学院附属鼓楼医院
耳鼻喉科,获提名,安徽医科大学第一附属医院
耳鼻喉科,获提名,青岛大学附属医院
耳鼻喉科,获提名,海军军医大学第一附属医院
耳鼻喉科,获提名,山东第一医科大学附属省立医院（山东省立医院
耳鼻喉科,获提名,烟台毓璜顶医院
耳鼻喉科,获提名,上海市第一人民医院
耳鼻喉科,获提名,南昌大学第一附属医院
耳鼻喉科,获提名,上海交通大学医学院附属新华医院
耳鼻喉科,获提名,复旦大学附属中山医院
耳鼻喉科,获提名,上海交通大学医学院附属仁济医院
耳鼻喉科,获提名,福建医科大学附属协和医院
呼吸科,1,上海交通大学医学院附属
呼吸科,2,瑞金医院
呼吸科,3,上海交通大学医学院附属仁济医院
呼吸科,4,复旦大学附属中山医院
呼吸科,5,南京大学医学院附属鼓楼医院
呼吸科,6,浙江大学医学院附属第二医院
呼吸科,7,上海交通大学医学院附属瑞金医院
呼吸科,8,浙江大学医学院附属第一医院
呼吸科,9,江苏省人民医院
呼吸科,10,（南京医科大学第一附属医院
呼吸科,获提名,中国科学技术大学附属
呼吸科,获提名,第一医院（安徽省立医院
呼吸科,获提名,上海市肺科医院
呼吸科,获提名,山东大学齐鲁医院
呼吸科,获提名,中国人民解放军东部战区总医院
呼吸科,获提名,海军军医大学第一附属医院
呼吸科,获提名,福建医科大学附属第一医院
呼吸科,获提名,浙江大学医学院附属邵逸夫医院
呼吸科,获提名,上海市胸科医院
呼吸科,获提名,山东第一医科大学附属省立医院（山东省立医院
呼吸科,获提名,南昌大学第一附属医院
呼吸科,获提名,青岛市市立医院
呼吸科,获提名,复旦大学附属华山医院
呼吸科,获提名,福建省立医院
呼吸科,获提名,福建医科大学附属第二医院
呼吸科,获提名,苏州大学附属第一医院
呼吸科,获提名,同济大学附属东方医院（上海市东方医院
呼吸科,获提名,江苏省人民医院（南京医科大学第一附属医院
呼吸科,获提名,海军军医大学第二附属医院
呼吸科,获提名,安徽医科大学第一附属医院
呼吸科,获提名,江西省人民医院（南昌医学院第一附属医院
呼吸科,获提名,厦门大学附属第一医院
呼吸科,获提名,上海市第六人民医院
呼吸科,获提名,光华中西医结合医院
妇产科,1,上海市第六人民医院
妇产科,1,海军军医大学第二附属医院
妇产科,2,山东大学齐鲁医院
妇产科,3,浙江大学医学院附属第二医院
妇产科,4,上海交通大学医学院附属
妇产科,5,仁济医院
妇产科,6,南京大学医学院附属鼓楼医院
妇产科,7,复旦大学附属华山医院
妇产科,8,江苏省人民医院（南京医科大学第一附属医院
妇产科,9,山东第一医科大学附属省立医院（山东省立医院
妇产科,10,安徽医科大学第一附属医院
妇产科,获提名,中国科学技术大学附属第一医院（安徽省立医院
妇产科,获提名,福建省妇幼保健院（福建省妇儿医院
妇产科,获提名,福建省人民医院（暨福建中医药大学附属人民医院
妇产科,获提名,江西省妇幼保健院
妇产科,获提名,中国福利会国际和平妇幼保健院
妇产科,获提名,南京市妇幼保健院
妇产科,获提名,上海交通大学医学院附属瑞金医院
妇产科,获提名,浙江大学医学院附属第一医院
妇产科,获提名,上海交通大学医学院附属第九人民医院
妇产科,获提名,福建医科大学附属第一医院
妇产科,获提名,青岛大学附属医院
妇产科,获提名,苏州大学附属第一医院
妇产科,获提名,南昌大学第一附属医院
妇产科,获提名,南通大学附属医院
妇产科,获提名,海军军医大学第一附属医院
妇产科,获提名,厦门大学附属中山医院
妇产科,获提名,浙江大学医学院附属邵逸夫医院
口腔科,1,上海市精神卫生中心
口腔科,2,上海交通大学医学院附属
口腔科,3,第九人民医院
口腔科,4,南京脑科医院（南京市胸科医院
口腔科,5,南京医科大学附属口腔医院
口腔科,6,（江苏省口腔医院
口腔科,7,浙江大学医学院附属第一医院
口腔科,8,浙江大学医学院附属口腔医院
口腔科,9,杭州市第七人民医院
口腔科,10,南京大学医学院附属口腔医院
口腔科,获提名,暨南京市口腔医院
口腔科,获提名,山东省精神卫生中心
口腔科,获提名,（山东大学附属精神卫生中心
口腔科,获提名,同济大学附属口腔医院
口腔科,获提名,安徽省精神卫生中心
口腔科,获提名,苏州市广济医院
口腔科,获提名,东南大学附属中大医院
口腔科,获提名,南昌大学第一附属医院
口腔科,获提名,厦门市仙岳医院
口腔科,获提名,浙江大学医学院附属第二医院
口腔科,获提名,安徽医科大学附属巢湖医院
口腔科,获提名,宁波市康宁医院
口腔科,获提名,同济大学附属同济医院
口腔科,获提名,山东大学口腔医院（山东省口腔医院
口腔科,获提名,福建医科大学附属口腔医院
口腔科,获提名,复旦大学附属口腔医院
口腔科,获提名,安徽医科大学附属口腔医院
口腔科,获提名,南昌大学附属口腔医院
口腔科,获提名,青岛大学附属医院
口腔科,获提名,中国科学技术大学附属第一医院（安徽省立医院
口腔科,获提名,福建医科大学附属第一医院
口腔科,获提名,上海和睦家医院
口腔科,获提名,苏州口腔医院
泌尿外科,1,上海交通大学医学院附属
泌尿外科,2,仁济医院
泌尿外科,3,复旦大学附属中山医院
泌尿外科,4,海军军医大学第一附属医院
泌尿外科,5,复旦大学附属华山医院
泌尿外科,6,浙江大学医学院附属第一医院
泌尿外科,7,上海交通大学医学院附属瑞金医院
泌尿外科,8,安徽医科大学第一附属医院
泌尿外科,9,浙江大学医学院附属第二医院
泌尿外科,10,江苏省人民医院
泌尿外科,获提名,（南京医科大学第一附属医院
泌尿外科,获提名,南京大学医学院附属鼓楼医院
泌尿外科,获提名,山东第一医科大学附属省立医院（山东省立医院
泌尿外科,获提名,福建医科大学附属协和医院
泌尿外科,获提名,海军军医大学第二附属医院
泌尿外科,获提名,福建省立医院
泌尿外科,获提名,江苏省人民医院（南京医科大学第一附属医院
泌尿外科,获提名,山东大学齐鲁医院
泌尿外科,获提名,中国科学技术大学附属第一医院（安徽省立医院
泌尿外科,获提名,上海交通大学医学院附属第九人民医院
泌尿外科,获提名,南昌大学第一附属医院
泌尿外科,获提名,福建医科大学附属第一医院
泌尿外科,获提名,苏州大学附属第一医院
泌尿外科,获提名,安徽医科大学第二附属医院
泌尿外科,获提名,温州医科大学附属第二医院
泌尿外科,获提名,徐州医科大学附属医院
泌尿外科,获提名,上海市第一人民医院
泌尿外科,获提名,厦门大学附属第一医院
泌尿外科,获提名,浙江大学医学院附属邵逸夫医院
泌尿外科,获提名,复旦大学附属肿瘤医院
泌尿外科,获提名,东南大学附属中大医院
皮肤科,1,上海交通大学医学院附属瑞金医院
皮肤科,2,复旦大学附属华山医院
皮肤科,3,上海市第六人民医院
皮肤科,4,中国医学科学院皮肤病医院
皮肤科,5,山东第一医科大学附属省立医院（山东省立医院
皮肤科,6,复旦大学附属中山医院
皮肤科,7,山东第一医科大学附属皮肤病医院
皮肤科,8,南京大学医学院附属鼓楼医院
皮肤科,9,浙江大学医学院附属第二医院
皮肤科,10,江苏省人民医院（南京医科大学第一附属医院
皮肤科,获提名,山东大学齐鲁医院
皮肤科,获提名,青岛大学附属医院
皮肤科,获提名,福建医科大学附属协和医院
皮肤科,获提名,浙江大学医学院附属第一医院
皮肤科,获提名,上海市第一人民医院
皮肤科,获提名,东南大学附属中大医院
皮肤科,获提名,福建医科大学附属第一医院
皮肤科,获提名,中国科学技术大学附属第一医院（安徽省立医院
皮肤科,获提名,安徽医科大学第一附属医院
皮肤科,获提名,南昌大学第一附属医院
皮肤科,获提名,福建省立医院
皮肤科,获提名,上海交通大学医学院附属第九人民医院
皮肤科,获提名,浙江大学医学院附属邵逸夫医院
皮肤科,获提名,上海市皮肤病医院
皮肤科,获提名,海军军医大学第二附属医院
皮肤科,获提名,上海交通大学医学院附属新华医院
神经内科,1,复旦大学附属中山医院
神经内科,2,复旦大学附属华山医院
神经内科,3,上海交通大学医学院附属瑞金医院
神经内科,4,浙江大学医学院附属第一医院
神经内科,5,福建医科大学附属第一医院
神经内科,6,浙江大学医学院附属第二医院
神经内科,7,江苏省人民医院
神经内科,8,（南京医科大学第一附属医院
神经内科,9,山东大学齐鲁医院
神经内科,10,上海交通大学医学院附属仁济医院
神经内科,获提名,中国人民解放军东部战区总医院
神经内科,获提名,浙江大学医学院附属邵逸夫医院
神经内科,获提名,中国科学技术大学附属第一医院（安徽省立医院
神经内科,获提名,福建医科大学附属协和医院
神经内科,获提名,南京大学医学院附属鼓楼医院
神经内科,获提名,山东第一医科大学附属省立医院（山东省立医院
神经内科,获提名,安徽医科大学第一附属医院
神经内科,获提名,海军军医大学第一附属医院
神经内科,获提名,南昌大学第二附属医院
神经内科,获提名,南昌大学第一附属医院
神经内科,获提名,青岛大学附属医院
神经内科,获提名,江苏省人民医院（南京医科大学第一附属医院
神经内科,获提名,苏州大学附属第二医院
神经内科,获提名,安徽医科大学第二附属医院
神经内科,获提名,青岛市市立医院
神经外科,1,中国人民解放军东部战区总医院
神经外科,2,复旦大学附属华山医院
神经外科,3,浙江大学医学院附属第一医院
神经外科,4,浙江大学医学院附属第二医院
神经外科,5,复旦大学附属中山医院
神经外科,6,山东大学齐鲁医院
神经外科,7,上海交通大学医学院附属
神经外科,8,瑞金医院
神经外科,9,福建医科大学附属第一医院
神经外科,10,南昌大学第一附属医院
神经外科,获提名,东南大学附属中大医院
神经外科,获提名,上海交通大学医学院附属仁济医院
神经外科,获提名,上海市第六人民医院
神经外科,获提名,上海交通大学医学院附属新华医院
神经外科,获提名,江苏省人民医院（南京医科大学第一附属医院
神经外科,获提名,海军军医大学第二附属医院
神经外科,获提名,安徽医科大学第一附属医院
神经外科,获提名,山东第一医科大学附属省立医院（山东省立医院
神经外科,获提名,海军军医大学第一附属医院
神经外科,获提名,青岛大学附属医院
