科室,排名,医院名称,官网URL,省份,城市
病理科,1,复旦大学附属肿瘤医院,https://www.shca.org.cn/,,
病理科,2,复旦大学附属华山医院,https://www.huashan.org.cn/,,
病理科,3,浙江大学医学院附属第一医院,https://www.zy91.com/,浙江,
病理科,4,山东大学齐鲁医院,https://www.qiluhospital.com/,山东,
病理科,5,上海交通大学医学院附属瑞金医院,https://www.rjh.com.cn/,上海,上海
病理科,6,江苏省人民医院,https://www.jsph.org.cn/,江苏,
病理科,7,（南京医科大学第一附属医院,https://www.jsph.org.cn/,江苏,南京
病理科,8,复旦大学附属中山医院,https://www.zs-hospital.sh.cn/,广东,中山
病理科,9,上海市（复旦大学附属,,上海,上海
病理科,10,公共卫生临床中心,,,
病理科,获提名,福建医科大学附属第一医院,https://www.fyyy.com/,福建,
病理科,获提名,福建省肿瘤医院,,福建,
病理科,获提名,苏州大学附属第一医院,,江苏,苏州
病理科,获提名,安徽医科大学第一附属医院,https://www.ayfy.com/,安徽,
病理科,获提名,中国科学技术大学附属第一医院（安徽省立医院,https://www.ahslyy.com.cn/,安徽,
病理科,获提名,南京大学医学院附属鼓楼医院,https://www.njglyy.com/,江苏,南京
病理科,获提名,浙江大学医学院附属第二医院,https://www.z2hospital.com/,浙江,
病理科,获提名,中国人民解放军东部战区总医院,,江苏,南京
病理科,获提名,青岛大学附属医院,https://www.qduh.cn/,山东,青岛
病理科,获提名,海军军医大学第一附属医院,,,
病理科,获提名,南昌大学第一附属医院,https://www.cdyfy.com/,江西,南昌
病理科,获提名,中国科学院大学附属肿瘤医院（浙江省肿瘤医院,https://www.zchospital.com/,浙江,
病理科,获提名,浙江省人民医院,https://www.hospitalstar.com/,浙江,
病理科,获提名,山东大学第二医院,https://www.eyhospital.com/,山东,
病理科,获提名,南京市第二医院,,江苏,南京
病理科,获提名,山东第一医科大学附属省立医院（山东省立医院,https://www.sph.com.cn/,山东,
耳鼻喉科,1,上海交通大学医学院附属瑞金医院,https://www.rjh.com.cn/,上海,上海
耳鼻喉科,2,上海交通大学医学院附属,https://www.rjh.com.cn/,上海,上海
耳鼻喉科,3,第九人民医院,https://www.9hospital.com.cn/,,
耳鼻喉科,4,东南大学附属中大医院,https://www.njzyy.com/,,
耳鼻喉科,5,上海市第六人民医院,https://www.6thhosp.com/,上海,上海
耳鼻喉科,6,中国人民解放军东部战区总医院,,江苏,南京
耳鼻喉科,7,山东省第二人民医院,,山东,
耳鼻喉科,8,(山东省耳鼻喉医院,,山东,
耳鼻喉科,9,海军军医大学第二附属医院,,,
耳鼻喉科,10,山东大学齐鲁医院,https://www.qiluhospital.com/,山东,
耳鼻喉科,获提名,复旦大学附属华山医院,https://www.huashan.org.cn/,,
耳鼻喉科,获提名,江苏省人民医院（南京医科大学第一附属医院,https://www.jsph.org.cn/,江苏,南京
耳鼻喉科,获提名,中国科学技术大学附属第一医院（安徽省立医院,https://www.ahslyy.com.cn/,安徽,
耳鼻喉科,获提名,浙江大学医学院附属第一医院,https://www.zy91.com/,浙江,
耳鼻喉科,获提名,福建医科大学附属第一医院,https://www.fyyy.com/,福建,
耳鼻喉科,获提名,浙江大学医学院附属第二医院,https://www.z2hospital.com/,浙江,
耳鼻喉科,获提名,南京大学医学院附属鼓楼医院,https://www.njglyy.com/,江苏,南京
耳鼻喉科,获提名,安徽医科大学第一附属医院,https://www.ayfy.com/,安徽,
耳鼻喉科,获提名,青岛大学附属医院,https://www.qduh.cn/,山东,青岛
耳鼻喉科,获提名,海军军医大学第一附属医院,,,
耳鼻喉科,获提名,山东第一医科大学附属省立医院（山东省立医院,https://www.sph.com.cn/,山东,
耳鼻喉科,获提名,烟台毓璜顶医院,,山东,烟台
耳鼻喉科,获提名,上海市第一人民医院,https://www.firsthospital.cn/,上海,上海
耳鼻喉科,获提名,南昌大学第一附属医院,https://www.cdyfy.com/,江西,南昌
耳鼻喉科,获提名,上海交通大学医学院附属新华医院,https://www.xinhuamed.com.cn/,上海,上海
耳鼻喉科,获提名,复旦大学附属中山医院,https://www.zs-hospital.sh.cn/,广东,中山
耳鼻喉科,获提名,上海交通大学医学院附属仁济医院,https://www.renji.com/,上海,上海
耳鼻喉科,获提名,福建医科大学附属协和医院,https://www.fjxiehe.com/,福建,
呼吸科,1,上海交通大学医学院附属,https://www.rjh.com.cn/,上海,上海
呼吸科,2,瑞金医院,https://www.rjh.com.cn/,,
呼吸科,3,上海交通大学医学院附属仁济医院,https://www.renji.com/,上海,上海
呼吸科,4,复旦大学附属中山医院,https://www.zs-hospital.sh.cn/,广东,中山
呼吸科,5,南京大学医学院附属鼓楼医院,https://www.njglyy.com/,江苏,南京
呼吸科,6,浙江大学医学院附属第二医院,https://www.z2hospital.com/,浙江,
呼吸科,7,上海交通大学医学院附属瑞金医院,https://www.rjh.com.cn/,上海,上海
呼吸科,8,浙江大学医学院附属第一医院,https://www.zy91.com/,浙江,
呼吸科,9,江苏省人民医院,https://www.jsph.org.cn/,江苏,
呼吸科,10,（南京医科大学第一附属医院,https://www.jsph.org.cn/,江苏,南京
呼吸科,获提名,中国科学技术大学附属,,,
呼吸科,获提名,第一医院（安徽省立医院,https://www.ahslyy.com.cn/,安徽,
呼吸科,获提名,上海市肺科医院,https://www.shsfkyy.com/,上海,上海
呼吸科,获提名,山东大学齐鲁医院,https://www.qiluhospital.com/,山东,
呼吸科,获提名,中国人民解放军东部战区总医院,,江苏,南京
呼吸科,获提名,海军军医大学第一附属医院,,,
呼吸科,获提名,福建医科大学附属第一医院,https://www.fyyy.com/,福建,
呼吸科,获提名,浙江大学医学院附属邵逸夫医院,https://www.srrsh.com/,浙江,
呼吸科,获提名,上海市胸科医院,https://www.shxkyy.com/,上海,上海
