科室,排名,医院名称
病理科,1,中南大学湘雅医院
病理科,2,华中科技大学同济医学院附属同济医院
病理科,3,郑州大学第一附属医院
病理科,4,华中科技大学同济医学院附属协和医院
病理科,5,河南省人民医院
病理科,6,武汉大学中南医院
病理科,7,中南大学湘雅二医院
病理科,8,武汉大学人民医院
病理科,9,河南省肿瘤医院(郑州大学附属肿瘤医院
病理科,10,湖北省肿瘤医院
病理科,获提名,湖南省人民医院（湖南师范大学附属第一医院
病理科,获提名,湖南省肿瘤医院
放射科,1,华中科技大学同济医学院附属协和医院
放射科,2,华中科技大学同济医学院附属同济医院
放射科,3,中南大学湘雅医院
放射科,4,郑州大学第一附属医院
放射科,5,武汉大学人民医院
放射科,6,河南省人民医院
放射科,7,中南大学湘雅二医院
放射科,8,湖南省人民医院（湖南师范大学附属第一医院
放射科,9,中南大学湘雅三医院
放射科,10,武汉大学中南医院
呼吸科,1,华中科技大学同济医学院附属同济医院
呼吸科,2,中南大学湘雅医院
呼吸科,3,华中科技大学同济医学院附属协和医院
呼吸科,4,中南大学湘雅二医院
呼吸科,5,郑州大学第一附属医院
呼吸科,6,河南省人民医院
呼吸科,7,武汉大学中南医院
呼吸科,8,武汉大学人民医院
呼吸科,9,河南科技大学第一附属医院
呼吸科,10,湖北民族大学附属民大医院
骨科,1,华中科技大学同济医学院附属同济医院
骨科,2,中南大学湘雅医院
骨科,3,郑州大学第一附属医院
骨科,4,华中科技大学同济医学院附属协和医院
骨科,5,中南大学湘雅二医院
骨科,6,武汉大学中南医院
骨科,7,中南大学湘雅三医院
骨科,8,武汉大学人民医院
骨科,9,河南省人民医院
骨科,10,河南大学第一附属医院
骨科,获提名,湖南省人民医院（湖南师范大学附属第一医院
口腔科,1,中南大学湘雅二医院
口腔科,2,武汉大学口腔医院
口腔科,3,武汉大学人民医院
口腔科,4,中南大学湘雅口腔医院
口腔科,5,新乡医学院第二附属医院
口腔科,6,郑州大学第一附属医院
口腔科,7,华中科技大学同济医学院附属协和医院
口腔科,8,武汉市精神卫生中心（武汉市心理医院
口腔科,9,长沙市口腔医院
口腔科,10,湖南省脑科医院（省第二人民医院
口腔科,获提名,荆州市荣军优抚医院
口腔科,获提名,华中科技大学同济医学院附属同济医院
口腔科,获提名,中南大学湘雅医院
口腔科,获提名,河南大学赛思口腔医院
口腔科,获提名,郑州市口腔医院
口腔科,获提名,江汉大学口腔医院
口腔科,获提名,华中科技大学同济医学院附属医院
口腔科,获提名,南阳市口腔医院
