科室,排名,医院名称,官网URL,省份,城市
病理科,1,中南大学湘雅医院,https://www.xiangya.com.cn/,,
病理科,2,华中科技大学同济医学院附属同济医院,https://www.tjh.com.cn/,,
病理科,3,郑州大学第一附属医院,https://www.fcc.zzu.edu.cn/,河南,郑州
病理科,4,华中科技大学同济医学院附属协和医院,https://www.whuh.com/,,
病理科,5,河南省人民医院,https://www.hnsrmyy.net/,河南,
病理科,6,武汉大学中南医院,https://www.znhospital.cn/,湖北,武汉
病理科,7,中南大学湘雅二医院,https://www.xyeyy.com/,,
病理科,8,武汉大学人民医院,https://www.rmhospital.com/,湖北,武汉
病理科,9,河南省肿瘤医院(郑州大学附属肿瘤医院,https://www.anti-cancer.com.cn/,河南,郑州
病理科,10,湖北省肿瘤医院,https://www.hbch.com.cn/,湖北,
病理科,获提名,湖南省人民医院（湖南师范大学附属第一医院,https://www.hnsrmyy.com/,湖南,
病理科,获提名,湖南省肿瘤医院,https://www.hnzlyy.com/,湖南,
放射科,1,华中科技大学同济医学院附属协和医院,https://www.whuh.com/,,
放射科,2,华中科技大学同济医学院附属同济医院,https://www.tjh.com.cn/,,
放射科,3,中南大学湘雅医院,https://www.xiangya.com.cn/,,
放射科,4,郑州大学第一附属医院,https://www.fcc.zzu.edu.cn/,河南,郑州
放射科,5,武汉大学人民医院,https://www.rmhospital.com/,湖北,武汉
放射科,6,河南省人民医院,https://www.hnsrmyy.net/,河南,
放射科,7,中南大学湘雅二医院,https://www.xyeyy.com/,,
放射科,8,湖南省人民医院（湖南师范大学附属第一医院,https://www.hnsrmyy.com/,湖南,
放射科,9,中南大学湘雅三医院,https://www.xy3yy.com/,,
放射科,10,武汉大学中南医院,https://www.znhospital.cn/,湖北,武汉
呼吸科,1,华中科技大学同济医学院附属同济医院,https://www.tjh.com.cn/,,
呼吸科,2,中南大学湘雅医院,https://www.xiangya.com.cn/,,
呼吸科,3,华中科技大学同济医学院附属协和医院,https://www.whuh.com/,,
呼吸科,4,中南大学湘雅二医院,https://www.xyeyy.com/,,
呼吸科,5,郑州大学第一附属医院,https://www.fcc.zzu.edu.cn/,河南,郑州
呼吸科,6,河南省人民医院,https://www.hnsrmyy.net/,河南,
呼吸科,7,武汉大学中南医院,https://www.znhospital.cn/,湖北,武汉
呼吸科,8,武汉大学人民医院,https://www.rmhospital.com/,湖北,武汉
呼吸科,9,河南科技大学第一附属医院,,河南,
呼吸科,10,湖北民族大学附属民大医院,,湖北,
骨科,1,华中科技大学同济医学院附属同济医院,https://www.tjh.com.cn/,,
骨科,2,中南大学湘雅医院,https://www.xiangya.com.cn/,,
骨科,3,郑州大学第一附属医院,https://www.fcc.zzu.edu.cn/,河南,郑州
骨科,4,华中科技大学同济医学院附属协和医院,https://www.whuh.com/,,
骨科,5,中南大学湘雅二医院,https://www.xyeyy.com/,,
骨科,6,武汉大学中南医院,https://www.znhospital.cn/,湖北,武汉
骨科,7,中南大学湘雅三医院,https://www.xy3yy.com/,,
骨科,8,武汉大学人民医院,https://www.rmhospital.com/,湖北,武汉
骨科,9,河南省人民医院,https://www.hnsrmyy.net/,河南,
骨科,10,河南大学第一附属医院,,河南,
骨科,获提名,湖南省人民医院（湖南师范大学附属第一医院,https://www.hnsrmyy.com/,湖南,
口腔科,1,中南大学湘雅二医院,https://www.xyeyy.com/,,
口腔科,2,武汉大学口腔医院,,湖北,武汉
口腔科,3,武汉大学人民医院,https://www.rmhospital.com/,湖北,武汉
口腔科,4,中南大学湘雅口腔医院,,,
口腔科,5,新乡医学院第二附属医院,,河南,新乡
口腔科,6,郑州大学第一附属医院,https://www.fcc.zzu.edu.cn/,河南,郑州
口腔科,7,华中科技大学同济医学院附属协和医院,https://www.whuh.com/,,
口腔科,8,武汉市精神卫生中心（武汉市心理医院,,湖北,武汉
口腔科,9,长沙市口腔医院,,湖南,长沙
口腔科,10,湖南省脑科医院（省第二人民医院,,湖南,
口腔科,获提名,荆州市荣军优抚医院,,湖北,荆州
口腔科,获提名,华中科技大学同济医学院附属同济医院,https://www.tjh.com.cn/,,
口腔科,获提名,中南大学湘雅医院,https://www.xiangya.com.cn/,,
口腔科,获提名,河南大学赛思口腔医院,,河南,
口腔科,获提名,郑州市口腔医院,,河南,郑州
口腔科,获提名,江汉大学口腔医院,,,
口腔科,获提名,华中科技大学同济医学院附属医院,,,
口腔科,获提名,南阳市口腔医院,,河南,南阳
泌尿外科,1,郑州大学第一附属医院,https://www.fcc.zzu.edu.cn/,河南,郑州
泌尿外科,2,华中科技大学同济医学院附属同济医院,https://www.tjh.com.cn/,,
泌尿外科,3,中南大学湘雅医院,https://www.xiangya.com.cn/,,
泌尿外科,4,华中科技大学同济医学院附属协和医院,https://www.whuh.com/,,
泌尿外科,5,中南大学湘雅二医院,https://www.xyeyy.com/,,
泌尿外科,6,河南省人民医院,https://www.hnsrmyy.net/,河南,
泌尿外科,7,中南大学湘雅三医院,https://www.xy3yy.com/,,
泌尿外科,8,武汉大学人民医院,https://www.rmhospital.com/,湖北,武汉
泌尿外科,9,武汉大学中南医院,https://www.znhospital.cn/,湖北,武汉
泌尿外科,10,湖南省人民医院（湖南师范大学附属第一医院,https://www.hnsrmyy.com/,湖南,
泌尿外科,获提名,中国人民解放军中部战区总医院,,湖北,武汉
泌尿外科,获提名,郑州大学第二附属医院,https://www.zzusah.com/,河南,郑州
皮肤科,1,中南大学湘雅二医院,https://www.xyeyy.com/,,
皮肤科,2,中南大学湘雅医院,https://www.xiangya.com.cn/,,
皮肤科,3,华中科技大学同济医学院附属协和医院,https://www.whuh.com/,,
皮肤科,4,郑州大学第一附属医院,https://www.fcc.zzu.edu.cn/,河南,郑州
皮肤科,5,华中科技大学同济医学院附属同济医院,https://www.tjh.com.cn/,,
皮肤科,6,武汉市第一医院（武汉市中西医结合医院,,湖北,武汉
皮肤科,7,河南省人民医院,https://www.hnsrmyy.net/,河南,
皮肤科,8,中国人民解放军中部战区总医院,,湖北,武汉
皮肤科,9,武汉大学人民医院,https://www.rmhospital.com/,湖北,武汉
皮肤科,10,武汉大学中南医院,https://www.znhospital.cn/,湖北,武汉
皮肤科,获提名,郑州颐和医院,,河南,郑州
皮肤科,获提名,中南大学湘雅三医院,https://www.xy3yy.com/,,
神经内科,1,华中科技大学同济医学院附属同济医院,https://www.tjh.com.cn/,,
神经内科,2,中南大学湘雅医院,https://www.xiangya.com.cn/,,
神经内科,3,华中科技大学同济医学院附属协和医院,https://www.whuh.com/,,
神经内科,4,郑州大学第一附属医院,https://www.fcc.zzu.edu.cn/,河南,郑州
神经内科,5,中南大学湘雅二医院,https://www.xyeyy.com/,,
神经内科,6,河南省人民医院,https://www.hnsrmyy.net/,河南,
神经内科,7,湖南省人民医院（湖南师范大学附属第一医院,https://www.hnsrmyy.com/,湖南,
神经内科,8,武汉大学中南医院,https://www.znhospital.cn/,湖北,武汉
神经内科,9,武汉大学人民医院,https://www.rmhospital.com/,湖北,武汉
神经内科,10,中南大学湘雅三医院,https://www.xy3yy.com/,,
神经外科,1,郑州大学第一附属医院,https://www.fcc.zzu.edu.cn/,河南,郑州
神经外科,2,中南大学湘雅医院,https://www.xiangya.com.cn/,,
神经外科,3,中南大学湘雅二医院,https://www.xyeyy.com/,,
神经外科,4,华中科技大学同济医学院附属同济医院,https://www.tjh.com.cn/,,
神经外科,5,华中科技大学同济医学院附属协和医院,https://www.whuh.com/,,
神经外科,6,武汉大学人民医院,https://www.rmhospital.com/,湖北,武汉
神经外科,7,河南省人民医院,https://www.hnsrmyy.net/,河南,
神经外科,8,中南大学湘雅三医院,https://www.xy3yy.com/,,
神经外科,9,湖南省人民医院（湖南师范大学附属第一医院,https://www.hnsrmyy.com/,湖南,
神经外科,10,武汉市第一医院（武汉市中西医结合医院,,湖北,武汉
神经外科,获提名,武汉大学中南医院,https://www.znhospital.cn/,湖北,武汉
神经外科,获提名,中国人民解放军中部战区总医院,,湖北,武汉
神经外科,获提名,郑州大学第五附属医院,,河南,郑州
小儿内科,1,华中科技大学同济医学院附属协和医院,https://www.whuh.com/,,
小儿内科,2,华中科技大学同济医学院附属同济医院,https://www.tjh.com.cn/,,
小儿内科,3,湖南省儿童医院,,湖南,
小儿内科,4,郑州大学第一附属医院,https://www.fcc.zzu.edu.cn/,河南,郑州
小儿内科,5,中南大学湘雅医院,https://www.xiangya.com.cn/,,
小儿内科,6,武汉市妇女儿童医疗保健中心,,湖北,武汉
小儿内科,7,武汉大学人民医院,https://www.rmhospital.com/,湖北,武汉
小儿内科,8,中南大学湘雅二医院,https://www.xyeyy.com/,,
小儿内科,9,中南大学湘雅三医院,https://www.xy3yy.com/,,
小儿内科,10,河南省人民医院,https://www.hnsrmyy.net/,河南,
小儿内科,获提名,武汉大学中南医院,https://www.znhospital.cn/,湖北,武汉
小儿内科,获提名,湖南省人民医院（湖南师范大学附属第一医院,https://www.hnsrmyy.com/,湖南,
小儿内科,获提名,河南省儿童医院,,河南,
小儿内科,获提名,湖南省妇幼保健院,,湖南,
小儿内科,获提名,郑州大学第三附属医院,,河南,郑州
小儿外科,1,华中科技大学同济医学院附属同济医院,https://www.tjh.com.cn/,,
小儿外科,2,华中科技大学同济医学院附属协和医院,https://www.whuh.com/,,
小儿外科,3,湖南省儿童医院,,湖南,
小儿外科,4,中南大学湘雅二医院,https://www.xyeyy.com/,,
小儿外科,5,郑州大学第一附属医院,https://www.fcc.zzu.edu.cn/,河南,郑州
小儿外科,6,武汉大学人民医院,https://www.rmhospital.com/,湖北,武汉
小儿外科,7,武汉市妇女儿童医疗保健中心,,湖北,武汉
小儿外科,8,河南省儿童医院,,河南,
小儿外科,9,郑州大学第三附属医院,,河南,郑州
小儿外科,10,中南大学湘雅医院,https://www.xiangya.com.cn/,,
胸外科,1,华中科技大学同济医学院附属协和医院,https://www.whuh.com/,,
胸外科,2,华中科技大学同济医学院附属同济医院,https://www.tjh.com.cn/,,
胸外科,3,中南大学湘雅二医院,https://www.xyeyy.com/,,
胸外科,4,郑州大学第一附属医院,https://www.fcc.zzu.edu.cn/,河南,郑州
胸外科,5,武汉亚洲心脏病医院,,湖北,武汉
心血管病,1,中南大学湘雅医院,https://www.xiangya.com.cn/,,
心血管病,2,华中科技大学同济医学院附属同济医院,https://www.tjh.com.cn/,,
心血管病,3,河南省胸科医院,,河南,
心血管病,4,河南省人民医院,https://www.hnsrmyy.net/,河南,
心血管病,5,武汉大学中南医院,https://www.znhospital.cn/,湖北,武汉
心血管病,6,武汉大学人民医院,https://www.rmhospital.com/,湖北,武汉
心血管病,7,河南省肿瘤医院(郑州大学附属肿瘤医院,https://www.anti-cancer.com.cn/,河南,郑州
心血管病,8,湖南省肿瘤医院,https://www.hnzlyy.com/,湖南,
心血管病,9,河南大学第一附属医院,,河南,
眼科,1,华中科技大学同济医学院附属协和医院,https://www.whuh.com/,,
眼科,2,中南大学湘雅二医院,https://www.xyeyy.com/,,
眼科,3,郑州大学第一附属医院,https://www.fcc.zzu.edu.cn/,河南,郑州
眼科,4,华中科技大学同济医学院附属同济医院,https://www.tjh.com.cn/,,
眼科,5,河南省人民医院,https://www.hnsrmyy.net/,河南,
眼科,6,中南大学湘雅医院,https://www.xiangya.com.cn/,,
眼科,7,河南省肿瘤医院(郑州大学附属肿瘤医院,https://www.anti-cancer.com.cn/,河南,郑州
眼科,8,中南大学湘雅三医院,https://www.xy3yy.com/,,
眼科,9,河南科技大学第一附属医院,,河南,
