科室,排名,医院名称
病理科,1,中国医学科学院北京协和医院
病理科,2,中国人民解放军总医院
病理科,3,北京大学第三医院
病理科,4,北京大学第一医院
病理科,5,中国医学科学院肿瘤医院
病理科,6,首都医科大学附属北京地坛医院
病理科,7,天津市肿瘤医院（天津医科大学肿瘤医院
病理科,8,首都医科大学附属北京佑安医院
病理科,9,河北医科大学第四医院暨河北省肿瘤医院
病理科,10,天津医科大学总医院
病理科,获提名,山西省肿瘤医院
病理科,获提名,北京医院
病理科,获提名,河北医科大学第二医院
病理科,获提名,北京大学人民医院
病理科,获提名,北京大学肿瘤医院
病理科,获提名,中日友好医院
病理科,获提名,河北医科大学第一医院
病理科,获提名,首都医科大学宣武医院
病理科,获提名,首都医科大学附属北京朝阳医院
病理科,获提名,河北医科大学第三医院
病理科,获提名,山西医科大学第一医院
病理科,获提名,天津市第三中心医院
病理科,获提名,内蒙古自治区人民医院
病理科,获提名,天津医科大学第二医院
病理科,获提名,首都医科大学附属北京友谊医院
病理科,获提名,天津市第二人民医院
病理科,获提名,天津市第一中心医院
放射科,1,首都医科大学附属北京同仁医院
放射科,2,中国医学科学院北京协和医院
放射科,3,中国人民解放军总医院
放射科,4,天津医科大学总医院
放射科,5,天津市第一中心医院
放射科,6,首都医科大学附属北京友谊医院
放射科,7,北京大学人民医院
放射科,8,北京医院
放射科,9,北京大学第三医院
放射科,10,山西医科大学第一医院
放射科,获提名,天津市环湖医院
放射科,获提名,中国人民解放军联勤保障部队第980医院
放射科,获提名,北京大学第一医院
放射科,获提名,内蒙古医科大学附属医院
放射科,获提名,山西医科大学第二医院
放射科,获提名,河北医科大学第二医院
放射科,获提名,中国医学科学院肿瘤医院
放射科,获提名,首都医科大学宣武医院
放射科,获提名,首都医科大学附属北京天坛医院
放射科,获提名,中国医学科学院阜外医院
放射科,获提名,河北医科大学第一医院
呼吸科,1,中日友好医院
呼吸科,2,中国医学科学院北京协和医院
呼吸科,3,北京大学人民医院
呼吸科,4,中国人民解放军总医院
呼吸科,5,首都医科大学附属北京朝阳医院
呼吸科,6,北京大学第一医院
呼吸科,7,天津医科大学总医院
呼吸科,8,北京大学第三医院
呼吸科,9,河北医科大学第一医院
呼吸科,10,河北医科大学第二医院
呼吸科,获提名,山西医科大学第一医院
呼吸科,获提名,内蒙古自治区人民医院
呼吸科,获提名,北京医院
呼吸科,获提名,山西医科大学第二医院
呼吸科,获提名,山西白求恩医院
呼吸科,获提名,内蒙古医科大学附属医院
呼吸科,获提名,首都医科大学宣武医院
骨科,1,中国医学科学院北京协和医院
骨科,2,北京积水潭医院
骨科,3,北京大学第三医院
骨科,4,中国人民解放军总医院
骨科,5,北京大学人民医院
骨科,6,天津医科大学总医院
骨科,7,北京大学第一医院
骨科,8,河北医科大学第三医院
妇产科,1,北京大学人民医院
妇产科,2,天津市天津医院
妇产科,3,山西医科大学第二医院
妇产科,4,天津医科大学总医院
妇产科,5,北京大学第一医院
妇产科,6,山西医科大学第一医院
口腔科,1,北京大学第六医院
口腔科,2,北京大学口腔医院
口腔科,3,首都医科大学附属北京安定医院
口腔科,4,首都医科大学附属北京口腔医院
口腔科,5,北京回龙观医院
口腔科,6,天津医科大学口腔医院
