科室,排名,医院名称,官网URL,省份,城市
病理科,1,中国医学科学院北京协和医院,https://www.pumch.cn/,北京,北京
病理科,2,中国人民解放军总医院,,北京,北京
病理科,3,北京大学第三医院,https://www.puh3.net.cn/,北京,北京
病理科,4,北京大学第一医院,https://www.bddyyy.com.cn/,北京,北京
病理科,5,中国医学科学院肿瘤医院,https://www.cicams.ac.cn/,,
病理科,6,首都医科大学附属北京地坛医院,,北京,北京
病理科,7,天津市肿瘤医院（天津医科大学肿瘤医院,https://www.tjmuch.com/,天津,天津
病理科,8,首都医科大学附属北京佑安医院,,北京,北京
病理科,9,河北医科大学第四医院暨河北省肿瘤医院,https://www.hbydsy.com/,河北,
病理科,10,天津医科大学总医院,https://www.tjmugh.com.cn/,天津,天津
病理科,获提名,山西省肿瘤医院,,山西,
病理科,获提名,北京医院,,北京,北京
病理科,获提名,河北医科大学第二医院,https://www.hb2h.com/,河北,
病理科,获提名,北京大学人民医院,https://www.pkuph.cn/,北京,北京
病理科,获提名,北京大学肿瘤医院,,北京,北京
病理科,获提名,中日友好医院,,,
病理科,获提名,河北医科大学第一医院,https://www.jyyy.com.cn/,河北,
病理科,获提名,首都医科大学宣武医院,,,
病理科,获提名,首都医科大学附属北京朝阳医院,,辽宁,朝阳
病理科,获提名,河北医科大学第三医院,https://www.cthhmu.com/,河北,
病理科,获提名,山西医科大学第一医院,https://www.sydyy.net/,山西,
病理科,获提名,天津市第三中心医院,,天津,天津
病理科,获提名,内蒙古自治区人民医院,https://www.nmgyy.cn/,内蒙古,
病理科,获提名,天津医科大学第二医院,https://www.tjmu2h.com.cn/,天津,天津
病理科,获提名,首都医科大学附属北京友谊医院,,北京,北京
病理科,获提名,天津市第二人民医院,,天津,天津
病理科,获提名,天津市第一中心医院,https://www.tjzx.org.cn/,天津,天津
放射科,1,首都医科大学附属北京同仁医院,https://www.trhos.com/,北京,北京
放射科,2,中国医学科学院北京协和医院,https://www.pumch.cn/,北京,北京
放射科,3,中国人民解放军总医院,,北京,北京
放射科,4,天津医科大学总医院,https://www.tjmugh.com.cn/,天津,天津
放射科,5,天津市第一中心医院,https://www.tjzx.org.cn/,天津,天津
放射科,6,首都医科大学附属北京友谊医院,,北京,北京
放射科,7,北京大学人民医院,https://www.pkuph.cn/,北京,北京
放射科,8,北京医院,,北京,北京
放射科,9,北京大学第三医院,https://www.puh3.net.cn/,北京,北京
放射科,10,山西医科大学第一医院,https://www.sydyy.net/,山西,
放射科,获提名,天津市环湖医院,,天津,天津
放射科,获提名,中国人民解放军联勤保障部队第980医院,,,
放射科,获提名,北京大学第一医院,https://www.bddyyy.com.cn/,北京,北京
放射科,获提名,内蒙古医科大学附属医院,https://www.nmgfy.com/,内蒙古,
放射科,获提名,山西医科大学第二医院,https://www.sxedfy.com/,山西,
放射科,获提名,河北医科大学第二医院,https://www.hb2h.com/,河北,
放射科,获提名,中国医学科学院肿瘤医院,https://www.cicams.ac.cn/,,
