科室,排名,医院名称,官网URL,省份,城市
病理科,1,南方医科大学南方医院,https://www.nfyy.com/,广东,广州
病理科,2,中山大学附属第一医院,https://www.gzsums.net/,广东,中山
病理科,3,中山大学附属第三医院,https://www.zssy.com.cn/,广东,中山
病理科,4,中山大学肿瘤防治中心,,广东,中山
病理科,5,广西医科大学第一附属医院,https://www.gxmuyfy.cn/,广西,
病理科,6,广东省人民医院,https://www.gdghospital.org.cn/,广东,
病理科,7,深圳市第三人民医院（南方科技大学第二附属医院,https://www.szdsrmyy.com/,广东,深圳
病理科,8,广州市第八人民医院,http://www.baidu.com/link?url=sZKix2aWCFVUVmKDITEM_4lO3IDjgsRzw5gQRrxBKEhnCTa39gNYN4nyYr5pJBVJqeJQ0NHpJK5GjctXCp2zjvxKpjEetw2UWh26k1hLkV4WjXf04mFMkB8RlVb2PHtBBn11BYj11auA0mnUfPs8k0WL8MvXxx_-fgxc9XENZn3krydY1W6YYoRySuoo1yH1rOZFRWT-TYqcvNJQ_q5lW1CMlXHGqowp-_IW65iPdHPsOlV_-hD7yN_ItYCrnfo3RqjjbU7letKYK8SV76RPwFb3RdLrpOrtjXD4E0ZXURS-RXcOmdVvmnhE57GDm8xf477NYrjRFsCdEE0CyhZ-OPrHcLYqRs7L8jb0sOpkVu1o-oMYn9wrVE7jfTmeaWJoQ3HbMZl0Oncmls83H-UqI0JZw6bRZblZVew15wXoZfNWR2xxebcCnQmNZ5tjxLTHqLtEqnXmVZpoOrwx9H9tqC8e5Uf1lw_GyGOiPr4n8x95HAAadPhDyPvifcbkZNkrcSsCVdIKljpMNtOLYE6Ja4Z1MYS-ExHcEySuWPVRx2spmKX-bYio02btTiNjV6PbMJmCLSlg3iVqEkGy_D212NEJj4LmhocaW4CSpjGqxkEj1mWnOX38kt5ASelU8mN_pajhlZEJi7eDp1FgX3Bkae5BBOiAY8RyqX0Wnz2ydlqXGQ4wm0-I6v3N_TR3b7UIBqjxtmW9I-Jm1rINOePpcFQxoFX-1GCtgF8fyhj9wXAUXeS4MByi0V63_vu-9u90OnmGziHRC0PoO-pPnnmt5V8NOXiwkpENyE3RzUQ4yxYznSuDVWAaatuYCEuXeEB1xpnz0GGqKtICIz9Er76G4KjMNya-JRr2EruvNsVKWBFP12HB9HYeOrLvZrHy-2-aEnJAH0aEWY6HPSrwPN81E42wosrHT5NVcChz47BiPGwepbbu89LGx9JFucQpfNHDB27-6sUdijQfPChJmCWPEnOa-hIykrrQP76oft1RI9i9M7q3Me1yc6-xC0-jyty_KFCDFny3jxgWRylLWMwPLu8vmST5fL7Mw1nO8wYjFtXhpylH7e3lRAx2DwFZlxec8BUwDG2_Gc1CKKK8ZC-ZFXgjObaEaUEOj0WRakYcD44UarYlRpooiDQjL4h3NwDs1Q-u8mbhSF9-NIW1keoYLq,广东,广州
病理科,9,海南医科大学第一附属医院,http://www.baidu.com/link?url=gNYKpU-jIP3HlSZ02nskkeFTfcye3m5EIdTAh9hFMyqSVBsZ-bED6OkSCX_1NrtAuzhpVgJJX5RKaKNy6HVp3mrLN8IM_EvErhLXonoTGgvd9rmF2ddig-dwGSlq99dShDTK5VA5L193pQsZALUJVj7_Xo5YQ2aW3Dd9zWc6N3kO6SWfth-6ecHkMWpEOftXzjTYsfDZRrTtq57-4fTOpHKlXTBKf6-A8Ow5gHSKOreg42XY1WZc7goIQJkasdw0CWBAg3aA6uFoYMTqrLMJJRIHA7DvEhKML5KYqDYDUR_L191N4B2eqe7lH2hnsX41pmjjL7dp9JYf_meSdsO3EJNpYa3rVEb2V8ik1nbB12IwntxImaNErN_zCj1WtzvlDogeg2XuX17mOBGO83ClSJ8DCdEUmC9Vsf3PphIag9mzEmoIpRfCTVVldRspGb_JzHaBbco3UFrJi4qegugWfsOIZkII-2Qv7z-V0M1Z-gCXCLBPK3TdPHgsju_B1YRWaJ5SZDheFUN3oNnB8O-mxbYwGv3noriQ0yDX75uRb8ykm97wXfsFYv1PKMHMG45zTaEA6J-lweMXCsOxM8qgLsvutXtYSFs9Z9Do--ScwKJIYuJFjUEqeEAfHDPwJTz_5-0ROme_dZ_rBU1EnQoOOUQh8xwi5_iL8WdlKM7OeyRNVEnGhm-QXj9WuxA1YtdqSBiGcuEmB3IWjgGYqVjYLTzcu-fUpJerBC44tMtepEVwcnujPZR57_KabSKJUqvOIN81MNgn8WbYSweyPKYmOrW_bbeTHZnEWw_DB-2cttFmBi5XyFSP_biqlIi4YTjOftBiZ_yqGb9Ql3pf_bXg3EuhQeT8b7hLmKFEYncEdsSUTekp13S4_bG84pDJFxNCqOYWjq7pzb-1d5r7mmiF2UWrDCRHL1ZA2mEQ_C6f2HaNqbCFlZghP9K0-ffg0dy-0E7HcXlyyU2ig65bFhmfidBnIFkL1V7InXvqS_FOAZYaey7C9NbaJnqBxAyuEV97GJlsF2_sKZO7qA-qIsCZZLjvi5FZOXZED1lv1RxHRzE1EZEAzoqUYaa-mBmAh7Yk__YfwNenKaijf76ERopxzMsG79Z0ZY9T9FQcEAsK9kz_WF-4SqRIusyJ1vw4Oy2jbanV581oV_Qq0Axyy6qsQT0YmJJx-LL_8beUFrjiDGe8HvxJJa7V9ljP8F-JxOaU,青海,海南
病理科,10,北京大学深圳医院,http://www.baidu.com/link?url=HPcUsVFOq4Ps6PVZmUcVrKpVnvDBI4bosR5j-WurN2-EPScfo3SzUz_247wdMdIc,北京,北京
