科室,排名,医院名称,官网URL,省份,城市
病理科,1,空军军医大学第一附属医院（西京医院,https://www.fmmu.edu.cn/,,
病理科,2,西安交通大学第一附属医院,https://www.dyyy.xjtu.edu.cn/,陕西,西安
病理科,3,新疆医科大学第一附属医院,https://www.xydyfy.com/,新疆,
病理科,4,空军军医大学第二附属医院（唐都医院,https://www.tangdu.com/,,
病理科,5,宁夏医科大学总医院,https://www.nyfy.com.cn/,宁夏,
病理科,6,西安交通大学第二附属医院,https://www.2yuan.xjtu.edu.cn/,陕西,西安
病理科,7,中国人民解放军联勤保障部队第940医院,,,
病理科,8,兰州大学第一医院,https://www.lzdxdyyy.com/,甘肃,兰州
病理科,9,甘肃省人民医院,https://www.gsrmyy.com/,甘肃,
病理科,10,石河子大学第一附属医院,,,
病理科,获提名,青海省人民医院,https://www.qhsrmyy.com/,青海,
病理科,获提名,新疆维吾尔自治区人民医院,https://www.xjrmyy.com/,新疆,
病理科,获提名,兰州大学第二医院,https://www.ldey.com.cn/,甘肃,兰州
病理科,获提名,陕西省人民医院,https://www.spph-sx.com/,陕西,
病理科,获提名,青海大学附属医院,https://www.qhuah.com/,青海,
病理科,获提名,新疆医科大学附属肿瘤医院,,新疆,
病理科,获提名,青海省第四人民医院,,青海,
放射科,1,空军军医大学第一附属医院（西京医院,https://www.fmmu.edu.cn/,,
放射科,2,西安交通大学第二附属医院,https://www.2yuan.xjtu.edu.cn/,陕西,西安
放射科,3,西安交通大学第一附属医院,https://www.dyyy.xjtu.edu.cn/,陕西,西安
放射科,4,新疆医科大学第一附属医院,https://www.xydyfy.com/,新疆,
放射科,5,兰州大学第一医院,https://www.lzdxdyyy.com/,甘肃,兰州
放射科,6,宁夏医科大学总医院,https://www.nyfy.com.cn/,宁夏,
放射科,7,空军军医大学第二附属医院（唐都医院,https://www.tangdu.com/,,
放射科,8,新疆维吾尔自治区人民医院,https://www.xjrmyy.com/,新疆,
放射科,9,兰州大学第二医院,https://www.ldey.com.cn/,甘肃,兰州
放射科,10,甘肃省人民医院,https://www.gsrmyy.com/,甘肃,
放射科,获提名,银川市第一人民医院,,宁夏,银川
放射科,获提名,陕西省人民医院,https://www.spph-sx.com/,陕西,
放射科,获提名,青海大学附属医院,https://www.qhuah.com/,青海,
放射科,获提名,青海省人民医院,https://www.qhsrmyy.com/,青海,
放射科,获提名,新疆医科大学第二附属医院,,新疆,
呼吸科,1,西安交通大学第一附属医院,https://www.dyyy.xjtu.edu.cn/,陕西,西安
呼吸科,2,空军军医大学第一附属医院（西京医院,https://www.fmmu.edu.cn/,,
呼吸科,3,西安交通大学第二附属医院,https://www.2yuan.xjtu.edu.cn/,陕西,西安
呼吸科,4,新疆维吾尔自治区人民医院,https://www.xjrmyy.com/,新疆,
呼吸科,5,空军军医大学第二附属医院（唐都医院,https://www.tangdu.com/,,
呼吸科,6,兰州大学第二医院,https://www.ldey.com.cn/,甘肃,兰州
呼吸科,7,宁夏医科大学总医院,https://www.nyfy.com.cn/,宁夏,
呼吸科,8,兰州大学第一医院,https://www.lzdxdyyy.com/,甘肃,兰州
呼吸科,9,新疆医科大学第一附属医院,https://www.xydyfy.com/,新疆,
呼吸科,10,青海省人民医院,https://www.qhsrmyy.com/,青海,
呼吸科,获提名,甘肃省人民医院,https://www.gsrmyy.com/,甘肃,
呼吸科,获提名,宁夏回族自治区人民医院,https://www.nxrmyy.com/,宁夏,
呼吸科,获提名,陕西省人民医院,https://www.spph-sx.com/,陕西,
呼吸科,获提名,青海大学附属医院,https://www.qhuah.com/,青海,
呼吸科,获提名,石河子大学第一附属医院,,,
呼吸科,获提名,西安市第五医院（陕西省中西医结合医院,,陕西,西安
呼吸科,获提名,喀什地区第一人民医院,,新疆,喀什
呼吸科,获提名,中国人民解放军联勤保障部队第940医院,,,
骨科,1,西安交通大学第一附属医院,https://www.dyyy.xjtu.edu.cn/,陕西,西安
骨科,2,西安市红会医院,,陕西,西安
骨科,3,空军军医大学第一附属医院（西京医院,https://www.fmmu.edu.cn/,,
骨科,4,新疆医科大学第一附属医院,https://www.xydyfy.com/,新疆,
骨科,5,西安交通大学第二附属医院,https://www.2yuan.xjtu.edu.cn/,陕西,西安
骨科,6,宁夏医科大学总医院,https://www.nyfy.com.cn/,宁夏,
骨科,7,兰州大学第一医院,https://www.lzdxdyyy.com/,甘肃,兰州
骨科,8,空军军医大学第二附属医院（唐都医院,https://www.tangdu.com/,,
骨科,9,甘肃省妇幼保健院（甘肃省中心医院,,甘肃,
骨科,10,西北妇女儿童医院,,,
骨科,获提名,青海红十字医院,,青海,
骨科,获提名,青海省人民医院,https://www.qhsrmyy.com/,青海,
骨科,获提名,新疆维吾尔自治区人民医院,https://www.xjrmyy.com/,新疆,
骨科,获提名,兰州大学第二医院,https://www.ldey.com.cn/,甘肃,兰州
骨科,获提名,甘肃省人民医院,https://www.gsrmyy.com/,甘肃,
骨科,获提名,青海大学附属医院,https://www.qhuah.com/,青海,
骨科,获提名,中国人民解放军联勤保障部队第940医院,,,
口腔科,1,西安交通大学第一附属医院,https://www.dyyy.xjtu.edu.cn/,陕西,西安
口腔科,2,空军军医大学第三附属医院（口腔医院,,,
口腔科,3,空军军医大学第一附属医院（西京医院,https://www.fmmu.edu.cn/,,
口腔科,4,西安交通大学口腔医院,,陕西,西安
口腔科,5,西安市精神卫生中心,,陕西,西安
口腔科,6,兰州大学口腔医院,,甘肃,兰州
口腔科,7,新疆医科大学第一附属医院,https://www.xydyfy.com/,新疆,
口腔科,8,新疆精神卫生中心暨乌鲁木齐市第四人民医院,,新疆,乌鲁木齐
口腔科,9,宁夏医科大学总医院,https://www.nyfy.com.cn/,宁夏,
口腔科,10,兰州大学第二医院,https://www.ldey.com.cn/,甘肃,兰州
口腔科,获提名,新疆维吾尔自治区人民医院,https://www.xjrmyy.com/,新疆,
口腔科,获提名,青海省第三人民医院,,青海,
口腔科,获提名,宁夏回族自治区宁安医院（宁夏精神卫生中心,,宁夏,
口腔科,获提名,兰州大学第一医院,https://www.lzdxdyyy.com/,甘肃,兰州
口腔科,获提名,兰州市第三人民医院,,甘肃,兰州
口腔科,获提名,甘肃省第二人民医院,,甘肃,
口腔科,获提名,天水市第三人民医院,,甘肃,天水
口腔科,获提名,银川市口腔医院,,宁夏,银川
口腔科,获提名,乌鲁木齐市口腔医院,,新疆,乌鲁木齐
口腔科,获提名,兰州市口腔医院,,甘肃,兰州
口腔科,获提名,西宁市口腔医院,,青海,西宁
口腔科,获提名,青海省人民医院,https://www.qhsrmyy.com/,青海,
泌尿外科,1,空军军医大学第一附属医院（西京医院,https://www.fmmu.edu.cn/,,
泌尿外科,2,西安交通大学第一附属医院,https://www.dyyy.xjtu.edu.cn/,陕西,西安
泌尿外科,3,空军军医大学第二附属医院（唐都医院,https://www.tangdu.com/,,
泌尿外科,4,西安交通大学第二附属医院,https://www.2yuan.xjtu.edu.cn/,陕西,西安
泌尿外科,5,宁夏医科大学总医院,https://www.nyfy.com.cn/,宁夏,
泌尿外科,6,兰州大学第二医院,https://www.ldey.com.cn/,甘肃,兰州
泌尿外科,7,新疆医科大学第一附属医院,https://www.xydyfy.com/,新疆,
泌尿外科,8,甘肃省人民医院,https://www.gsrmyy.com/,甘肃,
泌尿外科,9,兰州大学第一医院,https://www.lzdxdyyy.com/,甘肃,兰州
泌尿外科,10,新疆维吾尔自治区人民医院,https://www.xjrmyy.com/,新疆,
泌尿外科,获提名,空军军医大学第三附属医院（口腔医院,,,
泌尿外科,获提名,青海省人民医院,https://www.qhsrmyy.com/,青海,
泌尿外科,获提名,青海大学附属医院,https://www.qhuah.com/,青海,
泌尿外科,获提名,陕西省人民医院,https://www.spph-sx.com/,陕西,
泌尿外科,获提名,石河子大学第一附属医院,,,
泌尿外科,获提名,宁夏回族自治区人民医院,https://www.nxrmyy.com/,宁夏,
泌尿外科,获提名,西安市儿童医院,,陕西,西安
皮肤科,1,西安交通大学第一附属医院,https://www.dyyy.xjtu.edu.cn/,陕西,西安
皮肤科,2,空军军医大学第一附属医院（西京医院,https://www.fmmu.edu.cn/,,
皮肤科,3,西安交通大学第二附属医院,https://www.2yuan.xjtu.edu.cn/,陕西,西安
皮肤科,4,兰州大学第一医院,https://www.lzdxdyyy.com/,甘肃,兰州
皮肤科,5,新疆维吾尔自治区人民医院,https://www.xjrmyy.com/,新疆,
皮肤科,6,甘肃省人民医院,https://www.gsrmyy.com/,甘肃,
皮肤科,7,宁夏医科大学总医院,https://www.nyfy.com.cn/,宁夏,
皮肤科,8,新疆医科大学第一附属医院,https://www.xydyfy.com/,新疆,
皮肤科,9,青海省人民医院,https://www.qhsrmyy.com/,青海,
皮肤科,10,青海大学附属医院,https://www.qhuah.com/,青海,
皮肤科,获提名,陕西省人民医院,https://www.spph-sx.com/,陕西,
皮肤科,获提名,银川市第一人民医院,,宁夏,银川
皮肤科,获提名,西安高新医院,,陕西,西安
皮肤科,获提名,石河子大学第一附属医院,,,
皮肤科,获提名,空军军医大学第二附属医院（唐都医院,https://www.tangdu.com/,,
皮肤科,获提名,兰州大学第二医院,https://www.ldey.com.cn/,甘肃,兰州
皮肤科,获提名,甘肃医学院附属医院,,甘肃,
皮肤科,获提名,西安医学院第一附属医院,,陕西,西安
皮肤科,获提名,克拉玛依市人民医院,,新疆,克拉玛依
皮肤科,获提名,中国人民解放军联勤保障部队第940医院,,,
皮肤科,获提名,新疆医科大学第四附属医院（新疆维吾尔自治区中医医院,,新疆,
皮肤科,获提名,甘肃省妇幼保健院（甘肃省中心医院,,甘肃,
皮肤科,获提名,西宁市第一人民医院,,青海,西宁
神经内科,1,空军军医大学第一附属医院（西京医院,https://www.fmmu.edu.cn/,,
神经内科,2,西安交通大学第一附属医院,https://www.dyyy.xjtu.edu.cn/,陕西,西安
神经内科,3,新疆医科大学第一附属医院,https://www.xydyfy.com/,新疆,
神经内科,4,空军军医大学第二附属医院（唐都医院,https://www.tangdu.com/,,
神经内科,5,兰州大学第一医院,https://www.lzdxdyyy.com/,甘肃,兰州
神经内科,6,宁夏医科大学总医院,https://www.nyfy.com.cn/,宁夏,
神经内科,7,西安交通大学第二附属医院,https://www.2yuan.xjtu.edu.cn/,陕西,西安
神经内科,8,青海省人民医院,https://www.qhsrmyy.com/,青海,
神经内科,9,兰州大学第二医院,https://www.ldey.com.cn/,甘肃,兰州
神经内科,10,青海大学附属医院,https://www.qhuah.com/,青海,
神经内科,获提名,陕西省人民医院,https://www.spph-sx.com/,陕西,
神经内科,获提名,新疆维吾尔自治区人民医院,https://www.xjrmyy.com/,新疆,
神经内科,获提名,甘肃省人民医院,https://www.gsrmyy.com/,甘肃,
神经内科,获提名,宁夏回族自治区人民医院,https://www.nxrmyy.com/,宁夏,
神经内科,获提名,新疆医科大学第二附属医院,,新疆,
神经内科,获提名,石河子大学第一附属医院,,,
神经外科,1,西安交通大学第一附属医院,https://www.dyyy.xjtu.edu.cn/,陕西,西安
神经外科,2,空军军医大学第二附属医院（唐都医院,https://www.tangdu.com/,,
