科室,排名,医院名称
病理科,1,四川大学华西医院
病理科,2,陆军军医大学第一附属医院
病理科,3,重庆医科大学附属第二医院
病理科,4,重庆医科大学附属第一医院
病理科,5,四川省人民医院
病理科,6,贵州医科大学附属医院
病理科,7,昆明医科大学第一附属医院
病理科,8,遵义医科大学附属医院
病理科,9,四川大学华西第二医院
病理科,10,四川省肿瘤医院
病理科,获提名,西南医科大学附属医院
病理科,获提名,中国人民解放军陆军特色医学中心
病理科,获提名,中国人民解放军联勤保障部队第920医院
病理科,获提名,中国人民解放军西部战区总医院
病理科,获提名,云南省肿瘤医院(昆明医科大学第三附属医院
病理科,获提名,重庆大学附属肿瘤医院
病理科,获提名,陆军军医大学第二附属医院
病理科,获提名,西藏自治区人民医院
病理科,获提名,云南省第一人民医院（昆华医院
病理科,获提名,贵州省人民医院
病理科,获提名,成都市公共卫生临床医疗中心
病理科,获提名,云南省传染病医院/省艾滋病关爱中心/省心理卫生中心
病理科,获提名,昆明市第三人民医院
病理科,获提名,昆明医科大学第二附属医院
病理科,获提名,云南大学附属医院（云南省第二人民医院
放射科,1,四川大学华西医院
放射科,2,重庆医科大学附属第一医院
放射科,3,贵州医科大学附属医院
放射科,4,陆军军医大学第一附属医院
放射科,5,昆明医科大学第一附属医院
放射科,6,云南省第一人民医院（昆华医院
放射科,7,中国人民解放军陆军特色医学中心
放射科,8,重庆市人民医院
放射科,9,四川省人民医院
放射科,10,陆军军医大学第二附属医院
放射科,获提名,西藏自治区人民医院
放射科,获提名,贵州省人民医院
放射科,获提名,遵义医科大学附属医院
放射科,获提名,四川省肿瘤医院
放射科,获提名,重庆医科大学附属第二医院
放射科,获提名,四川大学华西第二医院
放射科,获提名,川北医学院附属医院
放射科,获提名,昆明医科大学第二附属医院
呼吸科,1,四川大学华西医院
呼吸科,2,重庆医科大学附属第一医院
呼吸科,3,陆军军医大学第一附属医院
呼吸科,4,陆军军医大学第二附属医院
呼吸科,5,昆明医科大学第一附属医院
呼吸科,6,贵州省人民医院
呼吸科,7,四川省人民医院
呼吸科,8,重庆医科大学附属第二医院
呼吸科,9,云南省第一人民医院（昆华医院
呼吸科,10,中国人民解放军陆军特色医学中心
呼吸科,获提名,贵州医科大学附属医院
呼吸科,获提名,西藏自治区人民医院
呼吸科,获提名,绵阳市中心医院
呼吸科,获提名,川北医学院附属医院
呼吸科,获提名,西南医科大学附属医院
呼吸科,获提名,重庆医科大学附属第三医院
呼吸科,获提名,昆明医科大学第二附属医院
呼吸科,获提名,贵州医科大学第三附属医院
呼吸科,获提名,遂宁市中心医院
骨科,1,四川大学华西第二医院
骨科,2,四川大学华西医院
骨科,3,陆军军医大学第一附属医院
骨科,4,重庆医科大学附属第一医院
骨科,5,陆军军医大学第二附属医院
骨科,6,昆明医科大学第一附属医院
骨科,7,四川省肿瘤医院
骨科,8,贵州省人民医院
骨科,9,重庆市妇幼保健院
骨科,10,重庆医科大学附属第二医院
骨科,获提名,贵州医科大学附属医院
骨科,获提名,四川省妇幼保健院
骨科,获提名,四川省人民医院
骨科,获提名,云南省第一人民医院（昆华医院
骨科,获提名,西藏自治区人民医院
骨科,获提名,昆明医科大学第二附属医院
骨科,获提名,重庆大学附属肿瘤医院
骨科,获提名,成都市妇女儿童中心医院
骨科,获提名,中国人民解放军陆军特色医学中心
口腔科,1,四川大学华西医院
口腔科,2,四川大学华西口腔医院
口腔科,3,重庆医科大学附属第一医院
口腔科,4,重庆医科大学附属口腔医院
口腔科,5,昆明医科大学第一附属医院
口腔科,6,昆明医科大学附属口腔医院
口腔科,7,重庆市精神卫生中心
口腔科,8,遵义医科大学附属口腔医院
口腔科,9,成都市第四人民医院
口腔科,10,贵州医科大学附属口腔医院
口腔科,获提名,四川省精神卫生中心（绵阳市第三人民医院
口腔科,获提名,贵州医科大学附属医院
口腔科,获提名,贵州省第二人民医院
口腔科,获提名,四川省人民医院
口腔科,获提名,云南省精神病医院
口腔科,获提名,自贡市第五人民医院
口腔科,获提名,西南医科大学附属医院
