科室,排名,医院名称,官网URL,省份,城市
病理科,1,四川大学华西医院,https://www.wchscu.cn/,四川,
病理科,2,陆军军医大学第一附属医院,https://www.xqhospital.com.cn/,重庆,重庆
病理科,3,重庆医科大学附属第二医院,https://www.cqumch.com.cn/,重庆,重庆
病理科,4,重庆医科大学附属第一医院,https://www.hospital-cqmu.com/,重庆,重庆
病理科,5,四川省人民医院,https://www.samsph.com/,四川,
病理科,6,贵州医科大学附属医院,https://www.gmcah.cn/,贵州,
病理科,7,昆明医科大学第一附属医院,https://www.ydyy.cn/,云南,昆明
病理科,8,遵义医科大学附属医院,,贵州,遵义
病理科,9,四川大学华西第二医院,https://www.motherchildren.com/,四川,
病理科,10,四川省肿瘤医院,https://www.sichuancancer.org/,四川,
病理科,获提名,西南医科大学附属医院,,四川,泸州
病理科,获提名,中国人民解放军陆军特色医学中心,,重庆,重庆
病理科,获提名,中国人民解放军联勤保障部队第920医院,,云南,昆明
病理科,获提名,中国人民解放军西部战区总医院,,四川,成都
病理科,获提名,云南省肿瘤医院(昆明医科大学第三附属医院,,云南,昆明
病理科,获提名,重庆大学附属肿瘤医院,,重庆,重庆
病理科,获提名,陆军军医大学第二附属医院,https://www.xinhuahospital.com/,重庆,重庆
病理科,获提名,西藏自治区人民医院,https://www.xzrmyy.com/,西藏,
病理科,获提名,云南省第一人民医院（昆华医院,https://www.ynsdyrmyy.com/,云南,
病理科,获提名,贵州省人民医院,https://www.gz5055.com/,贵州,
病理科,获提名,成都市公共卫生临床医疗中心,http://www.成都市公共卫生临床医疗中心.com,四川,成都
病理科,获提名,云南省传染病医院/省艾滋病关爱中心/省心理卫生中心,,云南,昆明
病理科,获提名,昆明市第三人民医院,,云南,昆明
病理科,获提名,昆明医科大学第二附属医院,https://www.kydefy.com/,云南,昆明
病理科,获提名,云南大学附属医院（云南省第二人民医院,,云南,
放射科,1,四川大学华西医院,https://www.wchscu.cn/,四川,
放射科,2,重庆医科大学附属第一医院,https://www.hospital-cqmu.com/,重庆,重庆
放射科,3,贵州医科大学附属医院,https://www.gmcah.cn/,贵州,
放射科,4,陆军军医大学第一附属医院,https://www.xqhospital.com.cn/,重庆,重庆
放射科,5,昆明医科大学第一附属医院,https://www.ydyy.cn/,云南,昆明
放射科,6,云南省第一人民医院（昆华医院,https://www.ynsdyrmyy.com/,云南,
放射科,7,中国人民解放军陆军特色医学中心,,重庆,重庆
放射科,8,重庆市人民医院,,重庆,重庆
放射科,9,四川省人民医院,https://www.samsph.com/,四川,
放射科,10,陆军军医大学第二附属医院,https://www.xinhuahospital.com/,重庆,重庆
放射科,获提名,西藏自治区人民医院,https://www.xzrmyy.com/,西藏,
放射科,获提名,贵州省人民医院,https://www.gz5055.com/,贵州,
放射科,获提名,遵义医科大学附属医院,,贵州,遵义
放射科,获提名,四川省肿瘤医院,https://www.sichuancancer.org/,四川,
放射科,获提名,重庆医科大学附属第二医院,https://www.cqumch.com.cn/,重庆,重庆
放射科,获提名,四川大学华西第二医院,https://www.motherchildren.com/,四川,
放射科,获提名,川北医学院附属医院,,四川,南充
放射科,获提名,昆明医科大学第二附属医院,https://www.kydefy.com/,云南,昆明
呼吸科,1,四川大学华西医院,https://www.wchscu.cn/,四川,
呼吸科,2,重庆医科大学附属第一医院,https://www.hospital-cqmu.com/,重庆,重庆
呼吸科,3,陆军军医大学第一附属医院,https://www.xqhospital.com.cn/,重庆,重庆
呼吸科,4,陆军军医大学第二附属医院,https://www.xinhuahospital.com/,重庆,重庆
呼吸科,5,昆明医科大学第一附属医院,https://www.ydyy.cn/,云南,昆明
呼吸科,6,贵州省人民医院,https://www.gz5055.com/,贵州,
呼吸科,7,四川省人民医院,https://www.samsph.com/,四川,
呼吸科,8,重庆医科大学附属第二医院,https://www.cqumch.com.cn/,重庆,重庆
呼吸科,9,云南省第一人民医院（昆华医院,https://www.ynsdyrmyy.com/,云南,
呼吸科,10,中国人民解放军陆军特色医学中心,,重庆,重庆
呼吸科,获提名,贵州医科大学附属医院,https://www.gmcah.cn/,贵州,
呼吸科,获提名,西藏自治区人民医院,https://www.xzrmyy.com/,西藏,
呼吸科,获提名,绵阳市中心医院,,四川,绵阳
呼吸科,获提名,川北医学院附属医院,,四川,南充
呼吸科,获提名,西南医科大学附属医院,,四川,泸州
呼吸科,获提名,重庆医科大学附属第三医院,,重庆,重庆
呼吸科,获提名,昆明医科大学第二附属医院,https://www.kydefy.com/,云南,昆明
呼吸科,获提名,贵州医科大学第三附属医院,,贵州,都匀
呼吸科,获提名,遂宁市中心医院,,四川,遂宁
骨科,1,四川大学华西第二医院,https://www.motherchildren.com/,四川,
骨科,2,四川大学华西医院,https://www.wchscu.cn/,四川,
骨科,3,陆军军医大学第一附属医院,https://www.xqhospital.com.cn/,重庆,重庆
骨科,4,重庆医科大学附属第一医院,https://www.hospital-cqmu.com/,重庆,重庆
骨科,5,陆军军医大学第二附属医院,https://www.xinhuahospital.com/,重庆,重庆
骨科,6,昆明医科大学第一附属医院,https://www.ydyy.cn/,云南,昆明
骨科,7,四川省肿瘤医院,https://www.sichuancancer.org/,四川,
骨科,8,贵州省人民医院,https://www.gz5055.com/,贵州,
