hospital_name,department,rank,url,province,city,region
中国医科大学附属第一医院,病理科,1,https://jiankang.baidu.com/med/template/#/pages/hospital/iframe/index?pcIframeSrc=https%3A%2F%2Fjiankang.baidu.com%2F%23%2Fpages%2Fbrand%2Fsearch%2Findex%3Fatn%3Dsearch%26clk_loc%3Dsearch5041_module2_dxwz%26customParams%3DmedQuSndDept%253D%2525E5%2525A6%252587%2525E7%2525A7%252591%26from_sf%3D1%26hidden_tab%3D1%26hospital_name%3D%25E4%25B8%25AD%25E5%259B%25BD%25E5%258C%25BB%25E7%25A7%2591%25E5%25A4%25A7%25E5%25AD%25A6%25E9%2599%2584%25E5%25B1%259E%25E7%25AC%25AC%25E4%25B8%2580%25E5%258C%25BB%25E9%2599%25A2%26openapi%3D1%26pd%3Dmed%26resource_id%3D5216%26search_channel%3Dwz%26search_section%3Dwz%26sf_ref%3Dsearch_5041_pc%26title%3D%25E6%2590%259C%25E7%25B4%25A2%26vn%3Dmed%26word%3D%25E4%25B8%25AD%25E5%259B%25BD%25E5%258C%25BB%25E7%25A7%2591%25E5%25A4%25A7%25E5%25AD%25A6%25E9%2599%2584%25E5%25B1%259E%25E7%25AC%25AC%25E4%25B8%2580%25E5%258C%25BB%25E9%2599%25A2%2B%25E5%25AE%2598%25E7%25BD%2591,,,东北区
吉林大学第一医院,病理科,2,https://www.bohe.cn/hospital/1686/introduce/,吉林,,东北区
哈尔滨医科大学附属第一医院,病理科,3,http://www.baidu.com/link?url=AuFNEr9qWBW2ma7CSw3UU66-SRcXEKIptp-CqC796GokzNfeMPz8wozIefdDacKvCLJA2VUO5D0ZGgZyZRUmI49uUhfTnM7_ffZT4oGRYXYoBOGR6rpwG2XOEVIucnQm3Q5-unKqm6KyUyDcvkJr7Hui_DdTSI5JLzpfbUNsM9PZG69IWkX9s9R2JNyLnaqIz895dM-9YestTaQCJ5h3TG16XAYAIj4LQwVcQjKaJkVtP_xgI_jNCByc9wsmwZtRV_QpellS47cJn20s4-MHGarThN1OM_v4UMq1UKXZDUuJl39YiZqoYCs2_zRHXMGH937e-dSYKfhGnxUmn9V-Fp_xjN6fv9UI-06zkKKWKZib4cJIT7AJ5uY980der7dxAroj3w7MrLYmMJHtAlva3YQcIBTS744WRbrB8CCkK3Ev--Q5EgrT7NyHC6UPysx74o-iRPGzlSdjT4_HGPA8c91xql7hBOPuS44T7cc3Fb5Y1W8dxiCcQa5EDBpw-W4CYYtfge2HB9BKcuzocWft88HuGG4GFPJoCXPsXsW2s_hhQPY5lrBzReJ9EPjImkzaJXm4J5G4G8zUHt_ZQLMCsV6_uNWU4N5Fn0MuRBC6xt1a1jwmjaa7xYlbgRJE6L-prfILyWWLgdvzSjDxI3plrb1hZwsJbcyLSdtzH3aYCFufSwKAF5KnoV4B-xnywC1QuDFYegvksQ9_tNia-vIuunbqeJ3OxSINjrw8JMdcU5Q_R6Jg9wc8uC3DyQq18Tjchl8NiP92JitKn78w-3Qvf7aoLEnihfOu4YvKK8YZXYFaB5gCq7yc1ldI0r6LnuJ9DnqUcXXcv20j7IuEXT5qW9lrnW34RkLTgltOL8OAwE7elqE8FIaxJoadEHRB3fj6AzRSLBG3nJwCVozYYO-VJfxrIe6E7ENI9fo3C191du7OTzON-JQ6S5Ald-ZK15sQ7_TvKmWYPT2PvxdIur56Vkj1804amoAB8ZvFaA92sJcnQmxAYc5y3bjuxxIx0CH6Z3o6jh6yIHM2ph7Xpg9rE5SAezizjsjb9AaIoXrCuZN77f83U4fFAKdJyiN5VQJMrPYSscU-8-6UFOG9-Xaupwi1K_YQq3meuxdnp4xUIWLizf-d4gOCcpOCnGv5k-5nDjKrXflPF89Mj0NM5FlfvUBsCeFn3BVmvSWOnJTZJ-W4g6-WHzpCO0EukFgKLvjCqJ2yrsMGNlUaTweip-TA55r3XYZ_Mr93oG_pn4vqH53,黑龙江,哈尔滨,东北区
中国医科大学附属盛京医院,病理科,4,http://www.baidu.com/link?url=raKCO5KwSIrTvwvJnZWheOuFNk7lAVL8gRwWU_R3CWOrpQQAH-xU7LcRH80XYMtgEIKxzSdqdrbsndoOsvZi6muPafwUKkwmR3aDFmTN-zzzLHO3ZXfea2jwo39LEbOkFkAltGqUR98H4gXNCAnVUQq_0Q867vB-yrWIiIg98lR0LfuAPMuCpSOE3VnK6RpKCL0H8YD4cqDjbtnWp6r_KjRAGjlp-v-LmnUGVc2y7QySamfJVE5Z-X6THEMcOX5nCEvzkJpC0k6Q4UBVJHIuRXjvhqYrZnUqxix50FBNRT-sVyPgDmpnhVor0BclGKTFN4rkV6qKuEzl7qhhzgATZNVvIN8vjBGVmeMWzMu0oPchHMB0jeN-SJGT5DqzS_BPejmxf3NWqFBDamoENdJ3kdS_-_ZHIzty9fmZOr920AbF84zw-Gw1Mm3kr9j2668v-8OaM3sJmq8roTJ5VFahIvmE_Z11NiSTpCXrY2XFZ25xVOYO5JnYK5LQ9BU_jsWKVqgIKgY0rHyUgGRqA_rkxbE8To0eYFBE-mCxUPTG429UOaBlI3O7uj7QwnIFULQgcEC3lxF_S5r0-khbArRBUmHsk_zpCrpLkjNXTcukuMZbx0EGHAoSqDhfGtY5jmBn4kPlpImg8gj_eJKq39mXQsxI4u9VZMrbGUOUqpJlv_qjDgegoj9vUm9gUqEOPr3YPEo-WeWM6Ey_mBk8UW9j6KPUz_0A2Yqzd_AHWJao8N2WgsdGqU28_ZpaiWXxV0rriZQJ5JbfuoU7cp5b_wrUJSt_Qcd_cwnXAbPFpC594djQwlwpu5Ja8NGDY9Sq77jLSTotCXN3GuNH-gr50m8DFDGgj-3FK4Yk6M2eZURhxiN7zV7ihBvvHoIdV8iT_hTajy5gY2a8lC_W14Y_4QE5r1WGAcVfgN6zz6jJWvVT0my4DWMPU156dmJSpAKEATboZZPa5cTQ3e50yqLfmxDmAY9qWUkNX9ZXKWu6FUdbxuioAmoDVWxrVKRQY6CG0GoOlajWH7oH6ep21NfGo5Wna4Ef0frqYxOdNk6oYSyMRvM_FqZUfS6DbpPf0p5tSDZ4cbJz4mwJ6yxgWlMj1IOnbmGiOaaZBFjkkmFkFjNsPXMxBKsGnlProXBfBz88UuljpP7znGeSfIm90djD7MOprnIvaSYyhC66IqwCJbRIzzRpBIIrv5e6lld1l7K9CjYBEORza_i0mIi8kLtJAI0htZy3MV-MiGXiD4qoVjD2q_8O23NmBOm4rUbmG1U1nMSXQRTRNeQgc3ZoXGcq3IuTBa,,,东北区
哈尔滨医科大学附属肿瘤医院,病理科,5,http://www.baidu.com/link?url=siEhpf7uVQvPCLTzJnigRJFCngfjWIvBFLsdEOpOVHvLF0g65zsXmGYuiLgSsT_R3wi8onmY2CrB5YHClpJHMjVb_11lt7Fbveq8sMmjhUpWss7ba1xAjVi8jIfxnXX2ePg0g-RuATsSGsGk550Mg0NPRXrNu5KEdVryh6a2NzsjYf6N3AohMI704K1B2hc1UCU4FnKuRFmZHAcNz-k_hBkZ_CXohTb_hGWSCZ_WuQONsv7S6C1CtDRwyeghnGMDKwrvcjQXXK6fcxaIuZzdxiHzrrUySz9Ad0Ni01y9bJxFkh55GuaJAalkPuzSZxKfP7CGqypkehNEql7Vr4Rx4C-bMONtHb7UcGKKQzWrRzgbCr3R3NMU5n7tvo_K36uEvn34ySLPRV28R9MtCUXMAJELXwmGF_cVJXi_7PNkc1CLMcRPL7MLt5QI7u5HOnF4sZoisQm3Xvh0VXLDay0D-cyO03q7W0UakoPvfS08cexfJWQ4dYfCSkHQWy9oSxsOIDESWRAcxCmn5cPiNPpAukPBICZkybsqEQwg0ybAqtBxpW3_AUIvcjAblZxrLIRPn9TgRLeDxI4uqA1_X4uUG1RiX7Wth3yqD7YuQXH_2va6RVC_wDRC7Pwur9mJapQksI7bS9rytp-Uo5TP2AormCTYxLtZf2gLDR31M8bFXt4eTNnpcC2uE0F1MumOolQW9Z3rfM2QOCXwYBFQe5wEhJrUSFT9ix9WycMkgVgKbUwHqS-VR5pzVeE09Bqa58eZ_dj9WhDlBxs0XYRTj2Bv0RTnNixz9waxCPSTHJ0K4ZnmALa7S9kmCzVDOex-3D7Yv2w-PAeKKeeubupeLfQCsQmomPNk721zxQG55RokNoAkkA1lRoxiSVPE_DpnfMJhaN9q0FlkvZ-xA7A_ajbT-vS3tiL-l6RzlQdJquCRj8q9tBHOjodw3aBzg_HcfAhKiZ6HFKjJQE5uz53pt_9XGsjWf4bUDGNKQv984GSfgYWX-EFh_D24kvj7EBHWGSh2DEWnlr31JLBgFpiy8jHNQanVWmLPas_9j9Xr09XH5Kdh7JoDSKBfWFS18oMKySdxxyzy5yMaWsPK5O8XxdH1_RFFonqBSXTud4CNRcu_lcXNibtT3CFIf5Zk6pCzP2s428cH8IGRzZ_nIUz3Zy5j3Yju76hmwPr-zR0OuNJvrHs8n42HzYACWU8e3Z6Y5o_529v_yiWWu3UtcR-59oi_QJTXTccvb37zPcNXkNBTWLemq_KBSiogNr-9_0qHHbcMXnvYTpJIK8HwyrwA0d9foVYYmoEwwWAfIoZF1H-R2hO,黑龙江,哈尔滨,东北区
哈尔滨医科大学附属第二医院,病理科,6,http://www.baidu.com/link?url=CjeOc0FpMU5-1mvOq_KyP0OPCT62s7UqSMrzqaAzFfk2_Kp5YTd2yCTP1pND6SF6_QUbKUXwDiOVGfJEsRXlTqQ37bm0cD9A72W6pfOVA5hagx32t4wl1onvqb1DGWVRWa0cVVxdSgWf-tmhNzgozsWfUxy8DF0nizZ_dEJ_hPfRLJ8uYTfTRsb_-WvQJ_3U82kZ6gvAyP6FDYzyibpcvsybprGsn-ZUiLnXfvKhY8OfKRbunX-J43gBOf2QF0h60PeCwLA-2cWGQdY_5sLLtyd61ytRRTOch-AAqWZTpPtjIrawH4WPg4M_kZre8IzIea6TZX4BNJxksI46qsqE6q3mI8Fl1AMBQD6FTk8O9SaqvO8lB26DcReUiufmjfz8dTLng1avbmqyhF6xjHytlpPhxCXrAlsWAhtd3dZc6G_sMAKlgetFkxjw_iBh4uVDcqw7-zhc7PBpVGaE-RMyURUEfVI5MyZtIGVlXEm5dWeRIAcIaNWu4ErnfvCcz2fyZ-cr4nJZj50ZweO6hWVrcQ-WVaX-3ROk6eVKydQMOIEm85QaIzfAYa08PsARPNXdL3kxJJOju6riwCBshO-ojSYwtUFd2Vyw_JnJi5xB3-yCE3xNGD_Dg1wO8fBk6jD6PSV91xSieDm14VVkEZ7vQYah8B3Yc_4YCUG_yrf1ERyHkzG0R6RwNGucC8B77LkxfdqAy4blgWx1-6AFWzPxwVSrw_XkbJjis_xxR0Pv367rlA-XiQzj-MRFj6lvSh2GmZrlTqY9PUn4B2mian1pJDbKDO2BQ-7XEewXNmw3Tj8iKRAc4MjIIKzx4dx2kBoiv2aSekSWklUtFCdg__vJtosSKjD06X0KL5VNE0P28Dwt2IvcrsYIFp9Ii2PTJwJbQukN4uUXnRrZnifIxKpskGSGmYDymuATGYE_xG_GtKBTPSxLbDTEzbBNTwNVVL-m-xxFbOGSIxz36F1iXA01Gr05mQ_XRefLTECouWJPNSksx1wOunGXGQ1BfLJHTYUMsVhLUyxug9g2QMX-qLEOvD8DTPiCIAjgDKhUD7dyGiZasOhHb3flgd-72gbupVHAimQfHsYzU5vtF2n8q3vXBP_xap-ShYIQdabN9tN8gnz7cLD_kPNERuuWLpDNimU6MafgB69DUsEEC2boWspjQdQoUurqvaMeHQQ90jCpYFdOvwvW7-ABUBM-Cl8WRR6CGDAdSdxzHBsmHYEL2eGZ8Pul6rJ1WVil9E77MbPCVJ_,黑龙江,哈尔滨,东北区
吉林大学第二医院,病理科,7,http://www.baidu.com/link?url=zsSzF7a5PUbiVnRTPSdVpyuCeAsKeOU9DhR5YXy_X51ACfuVF8pRAUqCaj6roioO,吉林,,东北区
大连医科大学附属第一医院,病理科,8,https://www.dmu-1.com/,辽宁,大连,东北区
辽宁省肿瘤医院暨大连理工大学附属肿瘤医院,病理科,9,https://www.lnszlyy.com/,辽宁,大连,东北区
吉林大学中日联谊医院,病理科,10,https://www.zrlyyy.com/,吉林,,东北区
