科室,排名,医院名,官网URL
病理科,1,南方医科大学南方医院,https://www.nfyy.com/
病理科,2,中山大学附属第一医院,https://www.gzsums.net/
病理科,3,中山大学肿瘤防治中心,https://www.sysucc.org.cn/
病理科,4,广东省人民医院,https://www.gdghospital.org.cn/
病理科,5,广西医科大学第一附属医院,https://www.gxmuyfy.cn/
病理科,获提名医院,海南医科大学第一附属医院,https://www.hainmc.edu.cn/
病理科,获提名医院,中山大学附属第三医院,https://www.zssy.com.cn/
病理科,获提名医院,北京大学深圳医院,https://www.bddyyy.com.cn/
病理科,获提名医院,深圳市人民医院,https://www.szhospital.com/
病理科,获提名医院,广州医科大学附属第一医院,https://www.gyfyy.com/
病理科,获提名医院,中山大学孙逸仙纪念医院,https://www.syshospital.com/
病理科,获提名医院,深圳市第三人民医院（南方科技大学第二附属医院）,https://www.szdsyy.com/
病理科,获提名医院,南方医科大学珠江医院,https://www.zjyy.com.cn/
传染感染,1,南方医科大学南方医院,https://www.nfyy.com/
传染感染,2,中山大学附属第三医院,https://www.zssy.com.cn/
传染感染,3,广西医科大学第一附属医院,https://www.gxmuyfy.cn/
传染感染,4,深圳市第三人民医院（南方科技大学第二附属医院）,https://www.szdsyy.com/
传染感染,5,广州市第八人民医院,https://www.gz8h.com.cn/
传染感染,获提名医院,海南省人民医院,https://www.phhp.com.cn/
传染感染,获提名医院,广东省人民医院,https://www.gdghospital.org.cn/
传染感染,获提名医院,中山大学附属第一医院,https://www.gzsums.net/
传染感染,获提名医院,广州医科大学附属第一医院,https://www.gyfyy.com/
传染感染,获提名医院,海南医科大学第一附属医院,https://www.hainmc.edu.cn/
传染感染,获提名医院,中山大学孙逸仙纪念医院,https://www.syshospital.com/
耳鼻喉科,1,中山大学附属第一医院,https://www.gzsums.net/
耳鼻喉科,2,中山大学孙逸仙纪念医院,https://www.syshospital.com/
耳鼻喉科,3,广西医科大学第一附属医院,https://www.gxmuyfy.cn/
耳鼻喉科,4,中山大学附属第三医院,https://www.zssy.com.cn/
耳鼻喉科,5,广东省人民医院,https://www.gdghospital.org.cn/
耳鼻喉科,获提名医院,海南省人民医院,https://www.phhp.com.cn/
耳鼻喉科,获提名医院,南方医科大学南方医院,https://www.nfyy.com/
耳鼻喉科,获提名医院,广西壮族自治区人民医院,https://www.gxhospital.com/
耳鼻喉科,获提名医院,南方医科大学珠江医院,https://www.zjyy.com.cn/
耳鼻喉科,获提名医院,广西医科大学第二附属医院,https://www.gxmuyfy.cn/
耳鼻喉科,获提名医院,广州医科大学附属第一医院,https://www.gyfyy.com/
耳鼻喉科,获提名医院,中山大学肿瘤防治中心,https://www.sysucc.org.cn/
耳鼻喉科,获提名医院,佛山市第一人民医院,https://www.fsyyy.com/
耳鼻喉科,获提名医院,海南医科大学第一附属医院,https://www.hainmc.edu.cn/
耳鼻喉科,获提名医院,深圳市人民医院,https://www.szhospital.com/
耳鼻喉科,获提名医院,深圳市第二人民医院（深圳大学第一附属医院）,https://www.szrch.com/
放射科,1,广东省人民医院,https://www.gdghospital.org.cn/
放射科,2,中山大学附属第一医院,https://www.gzsums.net/
放射科,3,广西医科大学第一附属医院,https://www.gxmuyfy.cn/
放射科,4,海南省人民医院,https://www.phhp.com.cn/
放射科,5,南方医科大学南方医院,https://www.nfyy.com/
放射科,获提名医院,中山大学孙逸仙纪念医院,https://www.syshospital.com/
放射科,获提名医院,中山大学肿瘤防治中心,https://www.sysucc.org.cn/
放射科,获提名医院,中山大学附属第三医院,https://www.zssy.com.cn/
放射科,获提名医院,暨南大学附属第一医院（广州华侨医院）,https://www.jd120.com/
放射科,获提名医院,广州市第一人民医院,https://www.gzhospital.cn/
放射科,获提名医院,广州医科大学附属第一医院,https://www.gyfyy.com/
放射科,获提名医院,中山大学附属第五医院,https://www.sysu5h.com/
放射科,获提名医院,海南医科大学第一附属医院,https://www.hainmc.edu.cn/
呼吸科,1,广州医科大学附属第一医院,https://www.gyfyy.com/
呼吸科,2,中山大学附属第一医院,https://www.gzsums.net/
呼吸科,3,南方医科大学南方医院,https://www.nfyy.com/
呼吸科,4,广西医科大学第一附属医院,https://www.gxmuyfy.cn/
呼吸科,5,广东省人民医院,https://www.gdghospital.org.cn/
呼吸科,获提名医院,深圳市人民医院,https://www.szhospital.com/
呼吸科,获提名医院,中山大学附属第三医院,https://www.zssy.com.cn/
呼吸科,获提名医院,中山大学孙逸仙纪念医院,https://www.syshospital.com/
呼吸科,获提名医院,海南省人民医院,https://www.phhp.com.cn/
呼吸科,获提名医院,海南医科大学第一附属医院,https://www.hainmc.edu.cn/
呼吸科,获提名医院,广西医科大学第二附属医院,https://www.gxmuyfy.cn/
呼吸科,获提名医院,广西壮族自治区人民医院,https://www.gxhospital.com/
呼吸科,获提名医院,广州市第一人民医院,https://www.gzhospital.cn/
风湿病,1,中山大学附属第三医院,https://www.zssy.com.cn/
风湿病,2,中山大学附属第一医院,https://www.gzsums.net/
风湿病,3,中山大学孙逸仙纪念医院,https://www.syshospital.com/
风湿病,4,广东省人民医院,https://www.gdghospital.org.cn/
风湿病,5,广西医科大学第一附属医院,https://www.gxmuyfy.cn/
风湿病,获提名医院,南方医科大学南方医院,https://www.nfyy.com/
风湿病,获提名医院,深圳市人民医院,https://www.szhospital.com/
风湿病,获提名医院,海南省人民医院,
风湿病,获提名医院,广州医科大学附属第二医院,
风湿病,获提名医院,南方医科大学珠江医院,https://www.zjyy.com.cn/
风湿病,获提名医院,广西壮族自治区人民医院,
风湿病,获提名医院,广州市第一人民医院,
风湿病,获提名医院,广州医科大学附属第一医院,https://www.gyfyy.com/
风湿病,获提名医院,中山大学附属第六医院,
妇产科,1,中山大学附属第一医院,
妇产科,2,中山大学孙逸仙纪念医院,
妇产科,3,南方医科大学南方医院,https://www.nfyy.com/
妇产科,4,广西医科大学第一附属医院,https://www.gxmuyfy.cn/
妇产科,5,海南省人民医院,
妇产科,获提名医院,广州医科大学附属第三医院,https://www.gy3h.com/
妇产科,获提名医院,海南医科大学第一附属医院,
妇产科,获提名医院,中山大学肿瘤防治中心,
妇产科,获提名医院,广州市妇女儿童医疗中心,
妇产科,获提名医院,广西壮族自治区人民医院,
妇产科,获提名医院,广东省人民医院,https://www.gdghospital.org.cn/
妇产科,获提名医院,南方医科大学珠江医院,https://www.zjyy.com.cn/
妇产科,获提名医院,北京大学深圳医院,
妇产科,获提名医院,广西医科大学附属肿瘤医院,
妇产科,获提名医院,广州医科大学附属第一医院,https://www.gyfyy.com/
妇产科,获提名医院,深圳市妇幼保健院,
妇产科,获提名医院,广东省妇幼保健院,
骨科,1,南方医科大学南方医院,https://www.nfyy.com/
骨科,2,中山大学附属第一医院,
骨科,3,中山大学孙逸仙纪念医院,
骨科,4,广西医科大学第一附属医院,https://www.gxmuyfy.cn/
骨科,5,广东省人民医院,https://www.gdghospital.org.cn/
骨科,获提名医院,中山大学附属第三医院,https://www.zssy.com.cn/
骨科,获提名医院,中国人民解放军南部战区总医院,
骨科,获提名医院,海南省人民医院,
骨科,获提名医院,南方医科大学第三附属医院,
骨科,获提名医院,深圳市第二人民医院（深圳大学第一附属医院）,
骨科,获提名医院,海南医科大学第一附属医院,
骨科,获提名医院,广州医科大学附属第一医院,https://www.gyfyy.com/
骨科,获提名医院,广东省中医院,https://www.gzhtcm.com/
骨科,获提名医院,广州中医药大学第一附属医院,https://www.gzucm.edu.cn/
骨科,获提名医院,暨南大学附属第一医院（广州华侨医院）,https://www.jd120.com/
骨科,获提名医院,广西壮族自治区人民医院,
骨科,获提名医院,南方医科大学珠江医院,https://www.zjyy.com.cn/
骨科,获提名医院,香港大学深圳医院 ,
精神医学,1,广州医科大学附属脑科医院,
精神医学,2,深圳市精神卫生中心(深圳市康宁医院),
精神医学,3,广东省人民医院,https://www.gdghospital.org.cn/
精神医学,4,广西壮族自治区脑科医院,https://www.gxnkyy.com/
精神医学,5,海南省安宁医院,
精神医学,获提名医院,中山大学附属第三医院,https://www.zssy.com.cn/
精神医学,获提名医院,暨南大学附属第一医院（广州华侨医院）,https://www.jd120.com/
精神医学,获提名医院,汕头大学精神卫生中心,
精神医学,获提名医院,南宁市第五人民医院,
精神医学,获提名医院,南方医科大学南方医院,https://www.nfyy.com/
精神医学,获提名医院,广西医科大学第一附属医院,https://www.gxmuyfy.cn/
精神医学,获提名医院,中山大学附属第一医院,
精神医学,获提名医院,海南医科大学第一附属医院,
口腔科,1,中山大学光华口腔医学院附属口腔医院,
口腔科,2,南方医科大学口腔医院,
口腔科,3,广西医科大学附属口腔医院,
口腔科,4,广州医科大学附属口腔医院,
口腔科,5,南方医科大学南方医院,https://www.nfyy.com/
口腔科,获提名医院,暨南大学附属穗华口腔医院,
口腔科,获提名医院,海南口腔医院,
口腔科,获提名医院,海南医科大学第一附属医院,
口腔科,获提名医院,中山大学孙逸仙纪念医院,
口腔科,获提名医院,北京大学深圳医院,
口腔科,获提名医院,海南省人民医院,
口腔科,获提名医院,桂林市口腔医院,
口腔科,获提名医院,深圳市口腔医院,
口腔科,获提名医院,深圳市人民医院,https://www.szhospital.com/
口腔科,获提名医院,广西医科大学第二附属医院,https://www.gxmuyfy.cn/
口腔科,获提名医院,深圳大学总医院,
麻醉科,1,南方医科大学南方医院,https://www.nfyy.com/
麻醉科,2,中山大学附属第一医院,
麻醉科,3,广西医科大学第一附属医院,https://www.gxmuyfy.cn/
麻醉科,4,中山大学附属第三医院,https://www.zssy.com.cn/
麻醉科,5,广东省人民医院,https://www.gdghospital.org.cn/
麻醉科,获提名医院,中山大学孙逸仙纪念医院,
麻醉科,获提名医院,南方医科大学珠江医院,https://www.zjyy.com.cn/
麻醉科,获提名医院,海南省人民医院,
麻醉科,获提名医院,广州医科大学附属第一医院,https://www.gyfyy.com/
麻醉科,获提名医院,广州市妇女儿童医疗中心,
麻醉科,获提名医院,佛山市第一人民医院,https://www.fsyyy.com/
麻醉科,获提名医院,海南医科大学第一附属医院,
麻醉科,获提名医院,深圳大学总医院,
麻醉科,获提名医院,中国人民解放军南部战区总医院,
麻醉科,获提名医院,广州医科大学附属第二医院,
麻醉科,获提名医院,海口市人民医院,https://www.hkrmyy.com/
麻醉科,获提名医院,广西医科大学附属肿瘤医院,
麻醉科,获提名医院,中山大学肿瘤防治中心,
泌尿外科,1,中山大学孙逸仙纪念医院,
泌尿外科,2,中山大学附属第一医院,
泌尿外科,3,广州医科大学附属第一医院,https://www.gyfyy.com/
泌尿外科,4,广西医科大学第一附属医院,https://www.gxmuyfy.cn/
泌尿外科,5,中山大学附属第三医院,https://www.zssy.com.cn/
